"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
"Alabama"	"01"	"Male"	"M"	"2014"	"2014"	392	2349967	16.7
"Alabama"	"01"	"Male"	"M"	"2015"	"2015"	428	2353184	18.2
"Alaska"	"02"	"Female"	"F"	"1999"	"1999"	21	301266	7.0
"Alaska"	"02"	"Female"	"F"	"2000"	"2000"	22	302820	7.3
"Alaska"	"02"	"Female"	"F"	"2001"	"2001"	29	305579	9.5
"Alaska"	"02"	"Female"	"F"	"2002"	"2002"	33	309633	10.7
"Alaska"	"02"	"Female"	"F"	"2003"	"2003"	37	313034	11.8
"Alaska"	"02"	"Female"	"F"	"2004"	"2004"	45	317807	14.2
"Alaska"	"02"	"Female"	"F"	"2005"	"2005"	33	320920	10.3
"Alaska"	"02"	"Female"	"F"	"2006"	"2006"	26	325121	8.0
"Alaska"	"02"	"Female"	"F"	"2007"	"2007"	29	327138	8.9
"Alaska"	"02"	"Female"	"F"	"2008"	"2008"	43	329412	13.1
"Alaska"	"02"	"Female"	"F"	"2009"	"2009"	51	337002	15.1
"Alaska"	"02"	"Female"	"F"	"2010"	"2010"	39	340603	11.5
"Alaska"	"02"	"Female"	"F"	"2011"	"2011"	42	347526	12.1
"Alaska"	"02"	"Female"	"F"	"2012"	"2012"	55	350211	15.7
"Alaska"	"02"	"Female"	"F"	"2013"	"2013"	35	349564	10.0
"Alaska"	"02"	"Female"	"F"	"2014"	"2014"	53	349436	15.2
"Alaska"	"02"	"Female"	"F"	"2015"	"2015"	45	349407	12.9
"Alaska"	"02"	"Male"	"M"	"1999"	"1999"	22	323513	6.8
"Alaska"	"02"	"Male"	"M"	"2000"	"2000"	22	324112	6.8
"Alaska"	"02"	"Male"	"M"	"2001"	"2001"	32	328135	9.8
"Alaska"	"02"	"Male"	"M"	"2002"	"2002"	47	332704	14.1
"Alaska"	"02"	"Male"	"M"	"2003"	"2003"	42	335380	12.5
"Alaska"	"02"	"Male"	"M"	"2004"	"2004"	40	341479	11.7
"Alaska"	"02"	"Male"	"M"	"2005"	"2005"	45	346026	13.0
"Alaska"	"02"	"Male"	"M"	"2006"	"2006"	49	350181	14.0
"Alaska"	"02"	"Male"	"M"	"2007"	"2007"	42	353162	11.9
"Alaska"	"02"	"Male"	"M"	"2008"	"2008"	82	358043	22.9
"Alaska"	"02"	"Male"	"M"	"2009"	"2009"	77	361893	21.3
"Alaska"	"02"	"Male"	"M"	"2010"	"2010"	42	369628	11.4
"Alaska"	"02"	"Male"	"M"	"2011"	"2011"	64	375192	17.1
"Alaska"	"02"	"Male"	"M"	"2012"	"2012"	74	381238	19.4
"Alaska"	"02"	"Male"	"M"	"2013"	"2013"	70	385568	18.2
"Alaska"	"02"	"Male"	"M"	"2014"	"2014"	70	387296	18.1
"Alaska"	"02"	"Male"	"M"	"2015"	"2015"	77	389025	19.8
"Arizona"	"04"	"Female"	"F"	"1999"	"1999"	135	2518299	5.4
"Arizona"	"04"	"Female"	"F"	"2000"	"2000"	143	2569575	5.6
"Arizona"	"04"	"Female"	"F"	"2001"	"2001"	171	2641676	6.5
"Arizona"	"04"	"Female"	"F"	"2002"	"2002"	198	2704217	7.3
"Arizona"	"04"	"Female"	"F"	"2003"	"2003"	239	2764077	8.6
"Arizona"	"04"	"Female"	"F"	"2004"	"2004"	258	2835606	9.1
"Arizona"	"04"	"Female"	"F"	"2005"	"2005"	306	2930811	10.4
"Arizona"	"04"	"Female"	"F"	"2006"	"2006"	326	3026134	10.8
"Arizona"	"04"	"Female"	"F"	"2007"	"2007"	341	3096998	11.0
"Arizona"	"04"	"Female"	"F"	"2008"	"2008"	330	3155278	10.5
"Arizona"	"04"	"Female"	"F"	"2009"	"2009"	396	3189908	12.4
"Arizona"	"04"	"Female"	"F"	"2010"	"2010"	461	3216194	14.3
"Arizona"	"04"	"Female"	"F"	"2011"	"2011"	466	3258634	14.3
"Arizona"	"04"	"Female"	"F"	"2012"	"2012"	463	3294772	14.1
"Arizona"	"04"	"Female"	"F"	"2013"	"2013"	506	3331505	15.2
"Arizona"	"04"	"Female"	"F"	"2014"	"2014"	490	3387637	14.5
"Arizona"	"04"	"Female"	"F"	"2015"	"2015"	506	3436575	14.7
"Arizona"	"04"	"Male"	"M"	"1999"	"1999"	366	2505524	14.6
"Arizona"	"04"	"Male"	"M"	"2000"	"2000"	367	2561057	14.3
"Arizona"	"04"	"Male"	"M"	"2001"	"2001"	372	2631801	14.1
"Arizona"	"04"	"Male"	"M"	"2002"	"2002"	416	2692038	15.5
"Arizona"	"04"	"Male"	"M"	"2003"	"2003"	422	2746287	15.4
"Arizona"	"04"	"Male"	"M"	"2004"	"2004"	474	2816798	16.8
"Arizona"	"04"	"Male"	"M"	"2005"	"2005"	473	2908266	16.3
"Arizona"	"04"	"Male"	"M"	"2006"	"2006"	538	3003007	17.9
"Arizona"	"04"	"Male"	"M"	"2007"	"2007"	586	3070683	19.1
"Arizona"	"04"	"Male"	"M"	"2008"	"2008"	488	3125084	15.6
"Arizona"	"04"	"Male"	"M"	"2009"	"2009"	596	3153246	18.9
"Arizona"	"04"	"Male"	"M"	"2010"	"2010"	627	3175823	19.7
"Arizona"	"04"	"Male"	"M"	"2011"	"2011"	598	3223871	18.5
"Arizona"	"04"	"Male"	"M"	"2012"	"2012"	663	3258483	20.3
"Arizona"	"04"	"Male"	"M"	"2013"	"2013"	706	3295119	21.4
"Arizona"	"04"	"Male"	"M"	"2014"	"2014"	717	3343847	21.4
"Arizona"	"04"	"Male"	"M"	"2015"	"2015"	755	3391490	22.3
"Arkansas"	"05"	"Female"	"F"	"1999"	"1999"	46	1359445	3.4
"Arkansas"	"05"	"Female"	"F"	"2000"	"2000"	53	1368707	3.9
"Arkansas"	"05"	"Female"	"F"	"2001"	"2001"	45	1376845	3.3
"Arkansas"	"05"	"Female"	"F"	"2002"	"2002"	81	1383239	5.9
"Arkansas"	"05"	"Female"	"F"	"2003"	"2003"	75	1391523	5.4
"Arkansas"	"05"	"Female"	"F"	"2004"	"2004"	106	1403048	7.6
"Arkansas"	"05"	"Female"	"F"	"2005"	"2005"	114	1418295	8.0
"Arkansas"	"05"	"Female"	"F"	"2006"	"2006"	111	1438428	7.7
"Arkansas"	"05"	"Female"	"F"	"2007"	"2007"	126	1451358	8.7
"Arkansas"	"05"	"Female"	"F"	"2008"	"2008"	161	1464220	11.0
"Arkansas"	"05"	"Female"	"F"	"2009"	"2009"	153	1475013	10.4
"Arkansas"	"05"	"Female"	"F"	"2010"	"2010"	157	1484281	10.6
"Arkansas"	"05"	"Female"	"F"	"2011"	"2011"	140	1495200	9.4
"Arkansas"	"05"	"Female"	"F"	"2012"	"2012"	173	1500641	11.5
"Arkansas"	"05"	"Female"	"F"	"2013"	"2013"	134	1505782	8.9
"Arkansas"	"05"	"Female"	"F"	"2014"	"2014"	153	1509053	10.1
"Arkansas"	"05"	"Female"	"F"	"2015"	"2015"	181	1515348	11.9
"Arkansas"	"05"	"Male"	"M"	"1999"	"1999"	63	1292415	4.9
"Arkansas"	"05"	"Male"	"M"	"2000"	"2000"	86	1304693	6.6
"Arkansas"	"05"	"Male"	"M"	"2001"	"2001"	78	1314726	5.9
"Arkansas"	"05"	"Male"	"M"	"2002"	"2002"	88	1322688	6.7
"Arkansas"	"05"	"Male"	"M"	"2003"	"2003"	104	1333293	7.8
"Arkansas"	"05"	"Male"	"M"	"2004"	"2004"	118	1346638	8.8
"Arkansas"	"05"	"Male"	"M"	"2005"	"2005"	151	1362802	11.1
"Arkansas"	"05"	"Male"	"M"	"2006"	"2006"	171	1383333	12.4
"Arkansas"	"05"	"Male"	"M"	"2007"	"2007"	169	1397292	12.1
"Arkansas"	"05"	"Male"	"M"	"2008"	"2008"	194	1410334	13.8
"Arkansas"	"05"	"Male"	"M"	"2009"	"2009"	196	1421830	13.8
"Arkansas"	"05"	"Male"	"M"	"2010"	"2010"	191	1431637	13.3
"Arkansas"	"05"	"Male"	"M"	"2011"	"2011"	211	1442779	14.6
"Arkansas"	"05"	"Male"	"M"	"2012"	"2012"	190	1448490	13.1
"Arkansas"	"05"	"Male"	"M"	"2013"	"2013"	176	1453591	12.1
"Arkansas"	"05"	"Male"	"M"	"2014"	"2014"	199	1457316	13.7
"Arkansas"	"05"	"Male"	"M"	"2015"	"2015"	206	1462856	14.1
"California"	"06"	"Female"	"F"	"1999"	"1999"	812	16800161	4.8
"California"	"06"	"Female"	"F"	"2000"	"2000"	580	16996756	3.4
"California"	"06"	"Female"	"F"	"2001"	"2001"	393	17294223	2.3
"California"	"06"	"Female"	"F"	"2002"	"2002"	1086	17498462	6.2
"California"	"06"	"Female"	"F"	"2003"	"2003"	1116	17709509	6.3
"California"	"06"	"Female"	"F"	"2004"	"2004"	1199	17871415	6.7
"California"	"06"	"Female"	"F"	"2005"	"2005"	1199	17996230	6.7
"California"	"06"	"Female"	"F"	"2006"	"2006"	1284	18097471	7.1
"California"	"06"	"Female"	"F"	"2007"	"2007"	1467	18214926	8.1
"California"	"06"	"Female"	"F"	"2008"	"2008"	1471	18396972	8.0
"California"	"06"	"Female"	"F"	"2009"	"2009"	1568	18583075	8.4
"California"	"06"	"Female"	"F"	"2010"	"2010"	1591	18736126	8.5
"California"	"06"	"Female"	"F"	"2011"	"2011"	1595	18943585	8.4
"California"	"06"	"Female"	"F"	"2012"	"2012"	1501	19122866	7.8
"California"	"06"	"Female"	"F"	"2013"	"2013"	1663	19268325	8.6
"California"	"06"	"Female"	"F"	"2014"	"2014"	1645	19533596	8.4
"California"	"06"	"Female"	"F"	"2015"	"2015"	1694	19701750	8.6
"California"	"06"	"Male"	"M"	"1999"	"1999"	1806	16699043	10.8
"California"	"06"	"Male"	"M"	"2000"	"2000"	1321	16874892	7.8
"California"	"06"	"Male"	"M"	"2001"	"2001"	802	17185235	4.7
"California"	"06"	"Male"	"M"	"2002"	"2002"	1834	17373381	10.6
"California"	"06"	"Male"	"M"	"2003"	"2003"	1935	17543650	11.0
"California"	"06"	"Male"	"M"	"2004"	"2004"	1869	17703161	10.6
"California"	"06"	"Male"	"M"	"2005"	"2005"	1952	17831713	10.9
"California"	"06"	"Male"	"M"	"2006"	"2006"	2158	17923731	12.0
"California"	"06"	"Male"	"M"	"2007"	"2007"	2329	18035385	12.9
"California"	"06"	"Male"	"M"	"2008"	"2008"	2337	18207365	12.8
"California"	"06"	"Male"	"M"	"2009"	"2009"	2438	18378154	13.3
"California"	"06"	"Male"	"M"	"2010"	"2010"	2413	18517830	13.0
"California"	"06"	"Male"	"M"	"2011"	"2011"	2541	18748327	13.6
"California"	"06"	"Male"	"M"	"2012"	"2012"	2494	18918564	13.2
"California"	"06"	"Male"	"M"	"2013"	"2013"	2739	19064196	14.4
"California"	"06"	"Male"	"M"	"2014"	"2014"	2828	19268904	14.7
"California"	"06"	"Male"	"M"	"2015"	"2015"	2929	19443068	15.1
"Colorado"	"08"	"Female"	"F"	"1999"	"1999"	128	2101358	6.1
"Colorado"	"08"	"Female"	"F"	"2000"	"2000"	117	2135278	5.5
"Colorado"	"08"	"Female"	"F"	"2001"	"2001"	152	2195705	6.9
"Colorado"	"08"	"Female"	"F"	"2002"	"2002"	171	2228665	7.7
"Colorado"	"08"	"Female"	"F"	"2003"	"2003"	181	2253214	8.0
"Colorado"	"08"	"Female"	"F"	"2004"	"2004"	183	2274511	8.0
"Colorado"	"08"	"Female"	"F"	"2005"	"2005"	203	2308238	8.8
"Colorado"	"08"	"Female"	"F"	"2006"	"2006"	253	2352960	10.8
"Colorado"	"08"	"Female"	"F"	"2007"	"2007"	313	2396433	13.1
"Colorado"	"08"	"Female"	"F"	"2008"	"2008"	299	2439060	12.3
"Colorado"	"08"	"Female"	"F"	"2009"	"2009"	322	2480710	13.0
"Colorado"	"08"	"Female"	"F"	"2010"	"2010"	289	2508534	11.5
"Colorado"	"08"	"Female"	"F"	"2011"	"2011"	370	2549601	14.5
"Colorado"	"08"	"Female"	"F"	"2012"	"2012"	383	2583877	14.8
"Colorado"	"08"	"Female"	"F"	"2013"	"2013"	373	2621921	14.2
"Colorado"	"08"	"Female"	"F"	"2014"	"2014"	368	2664707	13.8
"Colorado"	"08"	"Female"	"F"	"2015"	"2015"	347	2712811	12.8
"Colorado"	"08"	"Male"	"M"	"1999"	"1999"	212	2124660	10.0
"Colorado"	"08"	"Male"	"M"	"2000"	"2000"	228	2165983	10.5
"Colorado"	"08"	"Male"	"M"	"2001"	"2001"	247	2229982	11.1
"Colorado"	"08"	"Male"	"M"	"2002"	"2002"	268	2261741	11.8
"Colorado"	"08"	"Male"	"M"	"2003"	"2003"	303	2275518	13.3
"Colorado"	"08"	"Male"	"M"	"2004"	"2004"	318	2300502	13.8
"Colorado"	"08"	"Male"	"M"	"2005"	"2005"	384	2323650	16.5
"Colorado"	"08"	"Male"	"M"	"2006"	"2006"	363	2367463	15.3
"Colorado"	"08"	"Male"	"M"	"2007"	"2007"	404	2407435	16.8
"Colorado"	"08"	"Male"	"M"	"2008"	"2008"	437	2450670	17.8
"Colorado"	"08"	"Male"	"M"	"2009"	"2009"	434	2491485	17.4
"Colorado"	"08"	"Male"	"M"	"2010"	"2010"	357	2520662	14.2
"Colorado"	"08"	"Male"	"M"	"2011"	"2011"	466	2567195	18.2
"Colorado"	"08"	"Male"	"M"	"2012"	"2012"	421	2603705	16.2
"Colorado"	"08"	"Male"	"M"	"2013"	"2013"	464	2646446	17.5
"Colorado"	"08"	"Male"	"M"	"2014"	"2014"	523	2691159	19.4
"Colorado"	"08"	"Male"	"M"	"2015"	"2015"	517	2743763	18.8
"Connecticut"	"09"	"Female"	"F"	"1999"	"1999"	90	1747148	5.2
"Connecticut"	"09"	"Female"	"F"	"2000"	"2000"	76	1756246	4.3
"Connecticut"	"09"	"Female"	"F"	"2001"	"2001"	96	1768959	5.4
"Connecticut"	"09"	"Female"	"F"	"2002"	"2002"	107	1780500	6.0
"Connecticut"	"09"	"Female"	"F"	"2003"	"2003"	95	1793468	5.3
"Connecticut"	"09"	"Female"	"F"	"2004"	"2004"	107	1798078	6.0
"Connecticut"	"09"	"Female"	"F"	"2005"	"2005"	91	1802068	5.0
"Connecticut"	"09"	"Female"	"F"	"2006"	"2006"	118	1807675	6.5
"Connecticut"	"09"	"Female"	"F"	"2007"	"2007"	143	1811617	7.9
"Connecticut"	"09"	"Female"	"F"	"2008"	"2008"	131	1820749	7.2
"Connecticut"	"09"	"Female"	"F"	"2009"	"2009"	131	1828779	7.2
"Connecticut"	"09"	"Female"	"F"	"2010"	"2010"	122	1834483	6.7
"Connecticut"	"09"	"Female"	"F"	"2011"	"2011"	128	1835893	7.0
"Connecticut"	"09"	"Female"	"F"	"2012"	"2012"	146	1840431	7.9
"Connecticut"	"09"	"Female"	"F"	"2013"	"2013"	175	1841929	9.5
"Connecticut"	"09"	"Female"	"F"	"2014"	"2014"	216	1842128	11.7
"Connecticut"	"09"	"Female"	"F"	"2015"	"2015"	234	1839139	12.7
"Connecticut"	"09"	"Male"	"M"	"1999"	"1999"	214	1639253	13.1
"Connecticut"	"09"	"Male"	"M"	"2000"	"2000"	241	1649319	14.6
"Connecticut"	"09"	"Male"	"M"	"2001"	"2001"	204	1663876	12.3
"Connecticut"	"09"	"Male"	"M"	"2002"	"2002"	244	1678249	14.5
"Connecticut"	"09"	"Male"	"M"	"2003"	"2003"	204	1690868	12.1
"Connecticut"	"09"	"Male"	"M"	"2004"	"2004"	221	1698016	13.0
"Connecticut"	"09"	"Male"	"M"	"2005"	"2005"	201	1704888	11.8
"Connecticut"	"09"	"Male"	"M"	"2006"	"2006"	279	1709785	16.3
"Connecticut"	"09"	"Male"	"M"	"2007"	"2007"	283	1715653	16.5
"Connecticut"	"09"	"Male"	"M"	"2008"	"2008"	247	1724830	14.3
"Connecticut"	"09"	"Male"	"M"	"2009"	"2009"	257	1733028	14.8
"Connecticut"	"09"	"Male"	"M"	"2010"	"2010"	234	1739614	13.5
"Connecticut"	"09"	"Male"	"M"	"2011"	"2011"	268	1744816	15.4
"Connecticut"	"09"	"Male"	"M"	"2012"	"2012"	287	1749916	16.4
"Connecticut"	"09"	"Male"	"M"	"2013"	"2013"	397	1754151	22.6
"Connecticut"	"09"	"Male"	"M"	"2014"	"2014"	405	1754549	23.1
"Connecticut"	"09"	"Male"	"M"	"2015"	"2015"	563	1751747	32.1
"Delaware"	"10"	"Female"	"F"	"1999"	"1999"	14	398732	Unreliable
"Delaware"	"10"	"Female"	"F"	"2000"	"2000"	23	403059	5.7
"Delaware"	"10"	"Female"	"F"	"2001"	"2001"	22	409349	5.4
"Delaware"	"10"	"Female"	"F"	"2002"	"2002"	22	414652	5.3
"Delaware"	"10"	"Female"	"F"	"2003"	"2003"	19	420802	Unreliable
"Delaware"	"10"	"Female"	"F"	"2004"	"2004"	25	427320	5.9
"Delaware"	"10"	"Female"	"F"	"2005"	"2005"	19	435227	Unreliable
"Delaware"	"10"	"Female"	"F"	"2006"	"2006"	25	442766	5.6
"Delaware"	"10"	"Female"	"F"	"2007"	"2007"	36	449398	8.0
"Delaware"	"10"	"Female"	"F"	"2008"	"2008"	51	455481	11.2
"Delaware"	"10"	"Female"	"F"	"2009"	"2009"	59	459795	12.8
"Delaware"	"10"	"Female"	"F"	"2010"	"2010"	59	462995	12.7
"Delaware"	"10"	"Female"	"F"	"2011"	"2011"	70	467299	15.0
"Delaware"	"10"	"Female"	"F"	"2012"	"2012"	54	472734	11.4
"Delaware"	"10"	"Female"	"F"	"2013"	"2013"	66	477802	13.8
"Delaware"	"10"	"Female"	"F"	"2014"	"2014"	73	482925	15.1
"Delaware"	"10"	"Female"	"F"	"2015"	"2015"	71	488125	14.5
"Delaware"	"10"	"Male"	"M"	"1999"	"1999"	35	376258	9.3
"Delaware"	"10"	"Male"	"M"	"2000"	"2000"	31	380541	8.1
"Delaware"	"10"	"Male"	"M"	"2001"	"2001"	42	386350	10.9
"Delaware"	"10"	"Male"	"M"	"2002"	"2002"	61	391517	15.6
"Delaware"	"10"	"Male"	"M"	"2003"	"2003"	57	397201	14.4
"Delaware"	"10"	"Male"	"M"	"2004"	"2004"	36	403483	8.9
"Delaware"	"10"	"Male"	"M"	"2005"	"2005"	43	409923	10.5
"Delaware"	"10"	"Male"	"M"	"2006"	"2006"	52	416502	12.5
"Delaware"	"10"	"Male"	"M"	"2007"	"2007"	60	422351	14.2
"Delaware"	"10"	"Male"	"M"	"2008"	"2008"	72	428393	16.8
"Delaware"	"10"	"Male"	"M"	"2009"	"2009"	76	431935	17.6
"Delaware"	"10"	"Male"	"M"	"2010"	"2010"	84	434939	19.3
"Delaware"	"10"	"Male"	"M"	"2011"	"2011"	87	439836	19.8
"Delaware"	"10"	"Male"	"M"	"2012"	"2012"	86	444358	19.4
"Delaware"	"10"	"Male"	"M"	"2013"	"2013"	100	447947	22.3
"Delaware"	"10"	"Male"	"M"	"2014"	"2014"	116	452689	25.6
"Delaware"	"10"	"Male"	"M"	"2015"	"2015"	127	457809	27.7
"District of Columbia"	"11"	"Female"	"F"	"1999"	"1999"	Suppressed	301797	Suppressed
"District of Columbia"	"11"	"Female"	"F"	"2000"	"2000"	25	302693	8.3
"District of Columbia"	"11"	"Female"	"F"	"2001"	"2001"	28	303740	9.2
"District of Columbia"	"11"	"Female"	"F"	"2002"	"2002"	24	303146	7.9
"District of Columbia"	"11"	"Female"	"F"	"2003"	"2003"	32	300607	10.6
"District of Columbia"	"11"	"Female"	"F"	"2004"	"2004"	31	300284	10.3
"District of Columbia"	"11"	"Female"	"F"	"2005"	"2005"	28	299613	9.3
"District of Columbia"	"11"	"Female"	"F"	"2006"	"2006"	37	301322	12.3
"District of Columbia"	"11"	"Female"	"F"	"2007"	"2007"	19	302949	Unreliable
"District of Columbia"	"11"	"Female"	"F"	"2008"	"2008"	14	306265	Unreliable
"District of Columbia"	"11"	"Female"	"F"	"2009"	"2009"	Suppressed	311828	Suppressed
"District of Columbia"	"11"	"Female"	"F"	"2010"	"2010"	26	317501	8.2
"District of Columbia"	"11"	"Female"	"F"	"2011"	"2011"	35	325775	10.7
"District of Columbia"	"11"	"Female"	"F"	"2012"	"2012"	25	333282	7.5
"District of Columbia"	"11"	"Female"	"F"	"2013"	"2013"	33	340199	9.7
"District of Columbia"	"11"	"Female"	"F"	"2014"	"2014"	29	346293	8.4
"District of Columbia"	"11"	"Female"	"F"	"2015"	"2015"	35	353627	9.9
"District of Columbia"	"11"	"Male"	"M"	"1999"	"1999"	45	268416	16.8
"District of Columbia"	"11"	"Male"	"M"	"2000"	"2000"	49	269366	18.2
"District of Columbia"	"11"	"Male"	"M"	"2001"	"2001"	64	270764	23.6
"District of Columbia"	"11"	"Male"	"M"	"2002"	"2002"	36	270012	13.3
"District of Columbia"	"11"	"Male"	"M"	"2003"	"2003"	68	267895	25.4
"District of Columbia"	"11"	"Male"	"M"	"2004"	"2004"	56	267470	20.9
"District of Columbia"	"11"	"Male"	"M"	"2005"	"2005"	48	267523	17.9
"District of Columbia"	"11"	"Male"	"M"	"2006"	"2006"	63	269359	23.4
"District of Columbia"	"11"	"Male"	"M"	"2007"	"2007"	38	271455	14.0
"District of Columbia"	"11"	"Male"	"M"	"2008"	"2008"	42	273971	15.3
"District of Columbia"	"11"	"Male"	"M"	"2009"	"2009"	20	280400	7.1
"District of Columbia"	"11"	"Male"	"M"	"2010"	"2010"	49	284222	17.2
"District of Columbia"	"11"	"Male"	"M"	"2011"	"2011"	49	292221	16.8
"District of Columbia"	"11"	"Male"	"M"	"2012"	"2012"	49	299041	16.4
"District of Columbia"	"11"	"Male"	"M"	"2013"	"2013"	67	306250	21.9
"District of Columbia"	"11"	"Male"	"M"	"2014"	"2014"	64	312600	20.5
"District of Columbia"	"11"	"Male"	"M"	"2015"	"2015"	89	318601	27.9
"Florida"	"12"	"Female"	"F"	"1999"	"1999"	348	8073847	4.3
"Florida"	"12"	"Female"	"F"	"2000"	"2000"	382	8184663	4.7
"Florida"	"12"	"Female"	"F"	"2001"	"2001"	570	8372776	6.8
"Florida"	"12"	"Female"	"F"	"2002"	"2002"	664	8541734	7.8
"Florida"	"12"	"Female"	"F"	"2003"	"2003"	723	8697573	8.3
"Florida"	"12"	"Female"	"F"	"2004"	"2004"	818	8902447	9.2
"Florida"	"12"	"Female"	"F"	"2005"	"2005"	819	9117950	9.0
"Florida"	"12"	"Female"	"F"	"2006"	"2006"	909	9280080	9.8
"Florida"	"12"	"Female"	"F"	"2007"	"2007"	1024	9378587	10.9
"Florida"	"12"	"Female"	"F"	"2008"	"2008"	1044	9465279	11.0
"Florida"	"12"	"Female"	"F"	"2009"	"2009"	1139	9534289	11.9
"Florida"	"12"	"Female"	"F"	"2010"	"2010"	1136	9611955	11.8
"Florida"	"12"	"Female"	"F"	"2011"	"2011"	1124	9736166	11.5
"Florida"	"12"	"Female"	"F"	"2012"	"2012"	1077	9869741	10.9
"Florida"	"12"	"Female"	"F"	"2013"	"2013"	1038	9990213	10.4
"Florida"	"12"	"Female"	"F"	"2014"	"2014"	1067	10170011	10.5
"Florida"	"12"	"Female"	"F"	"2015"	"2015"	1190	10368733	11.5
"Florida"	"12"	"Male"	"M"	"1999"	"1999"	617	7685574	8.0
"Florida"	"12"	"Male"	"M"	"2000"	"2000"	750	7797715	9.6
"Florida"	"12"	"Male"	"M"	"2001"	"2001"	1135	7984190	14.2
"Florida"	"12"	"Male"	"M"	"2002"	"2002"	1232	8147636	15.1
"Florida"	"12"	"Male"	"M"	"2003"	"2003"	1299	8306512	15.6
"Florida"	"12"	"Male"	"M"	"2004"	"2004"	1413	8512871	16.6
"Florida"	"12"	"Male"	"M"	"2005"	"2005"	1512	8724088	17.3
"Florida"	"12"	"Male"	"M"	"2006"	"2006"	1638	8886910	18.4
"Florida"	"12"	"Male"	"M"	"2007"	"2007"	1737	8989255	19.3
"Florida"	"12"	"Male"	"M"	"2008"	"2008"	1883	9062026	20.8
"Florida"	"12"	"Male"	"M"	"2009"	"2009"	1914	9118355	21.0
"Florida"	"12"	"Male"	"M"	"2010"	"2010"	1890	9189355	20.6
"Florida"	"12"	"Male"	"M"	"2011"	"2011"	1761	9321376	18.9
"Florida"	"12"	"Male"	"M"	"2012"	"2012"	1494	9447827	15.8
"Florida"	"12"	"Male"	"M"	"2013"	"2013"	1412	9562647	14.8
"Florida"	"12"	"Male"	"M"	"2014"	"2014"	1542	9723286	15.9
"Florida"	"12"	"Male"	"M"	"2015"	"2015"	2017	9902539	20.4
"Georgia"	"13"	"Female"	"F"	"1999"	"1999"	109	4096031	2.7
"Georgia"	"13"	"Female"	"F"	"2000"	"2000"	142	4159340	3.4
"Georgia"	"13"	"Female"	"F"	"2001"	"2001"	179	4256162	4.2
"Georgia"	"13"	"Female"	"F"	"2002"	"2002"	201	4327934	4.6
"Georgia"	"13"	"Female"	"F"	"2003"	"2003"	239	4394952	5.4
"Georgia"	"13"	"Female"	"F"	"2004"	"2004"	281	4463524	6.3
"Georgia"	"13"	"Female"	"F"	"2005"	"2005"	272	4555263	6.0
"Georgia"	"13"	"Female"	"F"	"2006"	"2006"	324	4670606	6.9
