"State"	"State Code"	"Year"	"Year Code"	"Weekday"	"Weekday Code"	Deaths
"Alaska"	"02"	"2005"	"2005"	"Thursday"	"5"	10
"Alaska"	"02"	"2005"	"2005"	"Friday"	"6"	10
"Alaska"	"02"	"2005"	"2005"	"Saturday"	"7"	20
"Alaska"	"02"	"2006"	"2006"	"Sunday"	"1"	10
"Alaska"	"02"	"2006"	"2006"	"Monday"	"2"	11
"Alaska"	"02"	"2006"	"2006"	"Tuesday"	"3"	Suppressed
"Alaska"	"02"	"2006"	"2006"	"Wednesday"	"4"	Suppressed
"Alaska"	"02"	"2006"	"2006"	"Thursday"	"5"	11
"Alaska"	"02"	"2006"	"2006"	"Friday"	"6"	12
"Alaska"	"02"	"2006"	"2006"	"Saturday"	"7"	17
"Alaska"	"02"	"2007"	"2007"	"Sunday"	"1"	14
"Alaska"	"02"	"2007"	"2007"	"Monday"	"2"	Suppressed
"Alaska"	"02"	"2007"	"2007"	"Tuesday"	"3"	Suppressed
"Alaska"	"02"	"2007"	"2007"	"Wednesday"	"4"	10
"Alaska"	"02"	"2007"	"2007"	"Thursday"	"5"	12
"Alaska"	"02"	"2007"	"2007"	"Friday"	"6"	Suppressed
"Alaska"	"02"	"2007"	"2007"	"Saturday"	"7"	12
"Alaska"	"02"	"2008"	"2008"	"Sunday"	"1"	15
"Alaska"	"02"	"2008"	"2008"	"Monday"	"2"	12
"Alaska"	"02"	"2008"	"2008"	"Tuesday"	"3"	17
"Alaska"	"02"	"2008"	"2008"	"Wednesday"	"4"	10
"Alaska"	"02"	"2008"	"2008"	"Thursday"	"5"	20
"Alaska"	"02"	"2008"	"2008"	"Friday"	"6"	22
"Alaska"	"02"	"2008"	"2008"	"Saturday"	"7"	29
"Alaska"	"02"	"2009"	"2009"	"Sunday"	"1"	21
"Alaska"	"02"	"2009"	"2009"	"Monday"	"2"	16
"Alaska"	"02"	"2009"	"2009"	"Tuesday"	"3"	20
"Alaska"	"02"	"2009"	"2009"	"Wednesday"	"4"	13
"Alaska"	"02"	"2009"	"2009"	"Thursday"	"5"	17
"Alaska"	"02"	"2009"	"2009"	"Friday"	"6"	19
"Alaska"	"02"	"2009"	"2009"	"Saturday"	"7"	22
"Alaska"	"02"	"2010"	"2010"	"Sunday"	"1"	14
"Alaska"	"02"	"2010"	"2010"	"Monday"	"2"	Suppressed
"Alaska"	"02"	"2010"	"2010"	"Tuesday"	"3"	10
"Alaska"	"02"	"2010"	"2010"	"Wednesday"	"4"	14
"Alaska"	"02"	"2010"	"2010"	"Thursday"	"5"	13
"Alaska"	"02"	"2010"	"2010"	"Friday"	"6"	11
"Alaska"	"02"	"2010"	"2010"	"Saturday"	"7"	12
"Alaska"	"02"	"2011"	"2011"	"Sunday"	"1"	22
"Alaska"	"02"	"2011"	"2011"	"Monday"	"2"	15
"Alaska"	"02"	"2011"	"2011"	"Tuesday"	"3"	19
"Alaska"	"02"	"2011"	"2011"	"Wednesday"	"4"	15
"Alaska"	"02"	"2011"	"2011"	"Thursday"	"5"	11
"Alaska"	"02"	"2011"	"2011"	"Friday"	"6"	Suppressed
"Alaska"	"02"	"2011"	"2011"	"Saturday"	"7"	15
"Alaska"	"02"	"2012"	"2012"	"Sunday"	"1"	20
"Alaska"	"02"	"2012"	"2012"	"Monday"	"2"	17
"Alaska"	"02"	"2012"	"2012"	"Tuesday"	"3"	22
"Alaska"	"02"	"2012"	"2012"	"Wednesday"	"4"	22
"Alaska"	"02"	"2012"	"2012"	"Thursday"	"5"	16
"Alaska"	"02"	"2012"	"2012"	"Friday"	"6"	17
"Alaska"	"02"	"2012"	"2012"	"Saturday"	"7"	15
"Alaska"	"02"	"2013"	"2013"	"Sunday"	"1"	10
"Alaska"	"02"	"2013"	"2013"	"Monday"	"2"	20
"Alaska"	"02"	"2013"	"2013"	"Tuesday"	"3"	13
"Alaska"	"02"	"2013"	"2013"	"Wednesday"	"4"	17
"Alaska"	"02"	"2013"	"2013"	"Thursday"	"5"	14
"Alaska"	"02"	"2013"	"2013"	"Friday"	"6"	16
"Alaska"	"02"	"2013"	"2013"	"Saturday"	"7"	15
"Alaska"	"02"	"2014"	"2014"	"Sunday"	"1"	16
"Alaska"	"02"	"2014"	"2014"	"Monday"	"2"	14
"Alaska"	"02"	"2014"	"2014"	"Tuesday"	"3"	13
"Alaska"	"02"	"2014"	"2014"	"Wednesday"	"4"	23
"Alaska"	"02"	"2014"	"2014"	"Thursday"	"5"	15
"Alaska"	"02"	"2014"	"2014"	"Friday"	"6"	19
"Alaska"	"02"	"2014"	"2014"	"Saturday"	"7"	23
"Alaska"	"02"	"2015"	"2015"	"Sunday"	"1"	13
"Alaska"	"02"	"2015"	"2015"	"Monday"	"2"	18
"Alaska"	"02"	"2015"	"2015"	"Tuesday"	"3"	20
"Alaska"	"02"	"2015"	"2015"	"Wednesday"	"4"	12
"Alaska"	"02"	"2015"	"2015"	"Thursday"	"5"	20
"Alaska"	"02"	"2015"	"2015"	"Friday"	"6"	21
"Alaska"	"02"	"2015"	"2015"	"Saturday"	"7"	18
"Arizona"	"04"	"1999"	"1999"	"Sunday"	"1"	80
"Arizona"	"04"	"1999"	"1999"	"Monday"	"2"	61
"Arizona"	"04"	"1999"	"1999"	"Tuesday"	"3"	67
"Arizona"	"04"	"1999"	"1999"	"Wednesday"	"4"	78
"Arizona"	"04"	"1999"	"1999"	"Thursday"	"5"	71
"Arizona"	"04"	"1999"	"1999"	"Friday"	"6"	73
"Arizona"	"04"	"1999"	"1999"	"Saturday"	"7"	71
"Arizona"	"04"	"2000"	"2000"	"Sunday"	"1"	72
"Arizona"	"04"	"2000"	"2000"	"Monday"	"2"	68
"Arizona"	"04"	"2000"	"2000"	"Tuesday"	"3"	64
"Arizona"	"04"	"2000"	"2000"	"Wednesday"	"4"	72
"Arizona"	"04"	"2000"	"2000"	"Thursday"	"5"	71
"Arizona"	"04"	"2000"	"2000"	"Friday"	"6"	76
"Arizona"	"04"	"2000"	"2000"	"Saturday"	"7"	87
"Arizona"	"04"	"2001"	"2001"	"Sunday"	"1"	103
"Arizona"	"04"	"2001"	"2001"	"Monday"	"2"	80
"Arizona"	"04"	"2001"	"2001"	"Tuesday"	"3"	62
"Arizona"	"04"	"2001"	"2001"	"Wednesday"	"4"	67
"Arizona"	"04"	"2001"	"2001"	"Thursday"	"5"	65
"Arizona"	"04"	"2001"	"2001"	"Friday"	"6"	69
"Arizona"	"04"	"2001"	"2001"	"Saturday"	"7"	97
"Arizona"	"04"	"2002"	"2002"	"Sunday"	"1"	91
"Arizona"	"04"	"2002"	"2002"	"Monday"	"2"	79
"Arizona"	"04"	"2002"	"2002"	"Tuesday"	"3"	94
"Arizona"	"04"	"2002"	"2002"	"Wednesday"	"4"	66
"Arizona"	"04"	"2002"	"2002"	"Thursday"	"5"	87
"Arizona"	"04"	"2002"	"2002"	"Friday"	"6"	91
"Arizona"	"04"	"2002"	"2002"	"Saturday"	"7"	106
"Arizona"	"04"	"2003"	"2003"	"Sunday"	"1"	93
"Arizona"	"04"	"2003"	"2003"	"Monday"	"2"	93
"Arizona"	"04"	"2003"	"2003"	"Tuesday"	"3"	100
"Arizona"	"04"	"2003"	"2003"	"Wednesday"	"4"	97
"Arizona"	"04"	"2003"	"2003"	"Thursday"	"5"	100
"Arizona"	"04"	"2003"	"2003"	"Friday"	"6"	91
"Arizona"	"04"	"2003"	"2003"	"Saturday"	"7"	87
"Arizona"	"04"	"2004"	"2004"	"Sunday"	"1"	119
"Arizona"	"04"	"2004"	"2004"	"Monday"	"2"	105
"Arizona"	"04"	"2004"	"2004"	"Tuesday"	"3"	72
"Arizona"	"04"	"2004"	"2004"	"Wednesday"	"4"	95
"Arizona"	"04"	"2004"	"2004"	"Thursday"	"5"	107
"Arizona"	"04"	"2004"	"2004"	"Friday"	"6"	114
"Arizona"	"04"	"2004"	"2004"	"Saturday"	"7"	120
"Arizona"	"04"	"2005"	"2005"	"Sunday"	"1"	112
"Arizona"	"04"	"2005"	"2005"	"Monday"	"2"	117
"Arizona"	"04"	"2005"	"2005"	"Tuesday"	"3"	119
"Arizona"	"04"	"2005"	"2005"	"Wednesday"	"4"	97
"Arizona"	"04"	"2005"	"2005"	"Thursday"	"5"	93
"Arizona"	"04"	"2005"	"2005"	"Friday"	"6"	124
"Arizona"	"04"	"2005"	"2005"	"Saturday"	"7"	117
"Arizona"	"04"	"2006"	"2006"	"Sunday"	"1"	139
"Arizona"	"04"	"2006"	"2006"	"Monday"	"2"	98
"Arizona"	"04"	"2006"	"2006"	"Tuesday"	"3"	103
"Arizona"	"04"	"2006"	"2006"	"Wednesday"	"4"	122
"Arizona"	"04"	"2006"	"2006"	"Thursday"	"5"	140
"Arizona"	"04"	"2006"	"2006"	"Friday"	"6"	117
"Arizona"	"04"	"2006"	"2006"	"Saturday"	"7"	145
"Arizona"	"04"	"2007"	"2007"	"Sunday"	"1"	142
"Arizona"	"04"	"2007"	"2007"	"Monday"	"2"	144
"Arizona"	"04"	"2007"	"2007"	"Tuesday"	"3"	117
"Arizona"	"04"	"2007"	"2007"	"Wednesday"	"4"	116
"Arizona"	"04"	"2007"	"2007"	"Thursday"	"5"	112
"Arizona"	"04"	"2007"	"2007"	"Friday"	"6"	143
"Arizona"	"04"	"2007"	"2007"	"Saturday"	"7"	153
"Arizona"	"04"	"2008"	"2008"	"Sunday"	"1"	130
"Arizona"	"04"	"2008"	"2008"	"Monday"	"2"	125
"Arizona"	"04"	"2008"	"2008"	"Tuesday"	"3"	128
"Arizona"	"04"	"2008"	"2008"	"Wednesday"	"4"	100
"Arizona"	"04"	"2008"	"2008"	"Thursday"	"5"	113
"Arizona"	"04"	"2008"	"2008"	"Friday"	"6"	87
"Arizona"	"04"	"2008"	"2008"	"Saturday"	"7"	135
"Arizona"	"04"	"2009"	"2009"	"Sunday"	"1"	146
"Arizona"	"04"	"2009"	"2009"	"Monday"	"2"	134
"Arizona"	"04"	"2009"	"2009"	"Tuesday"	"3"	140
"Arizona"	"04"	"2009"	"2009"	"Wednesday"	"4"	135
"Arizona"	"04"	"2009"	"2009"	"Thursday"	"5"	147
"Arizona"	"04"	"2009"	"2009"	"Friday"	"6"	133
"Arizona"	"04"	"2009"	"2009"	"Saturday"	"7"	157
"Arizona"	"04"	"2010"	"2010"	"Sunday"	"1"	160
"Arizona"	"04"	"2010"	"2010"	"Monday"	"2"	163
"Arizona"	"04"	"2010"	"2010"	"Tuesday"	"3"	144
"Arizona"	"04"	"2010"	"2010"	"Wednesday"	"4"	137
"Arizona"	"04"	"2010"	"2010"	"Thursday"	"5"	147
"Arizona"	"04"	"2010"	"2010"	"Friday"	"6"	155
"Arizona"	"04"	"2010"	"2010"	"Saturday"	"7"	182
"Arizona"	"04"	"2011"	"2011"	"Sunday"	"1"	158
"Arizona"	"04"	"2011"	"2011"	"Monday"	"2"	158
"Arizona"	"04"	"2011"	"2011"	"Tuesday"	"3"	135
"Arizona"	"04"	"2011"	"2011"	"Wednesday"	"4"	157
"Arizona"	"04"	"2011"	"2011"	"Thursday"	"5"	142
"Arizona"	"04"	"2011"	"2011"	"Friday"	"6"	151
"Arizona"	"04"	"2011"	"2011"	"Saturday"	"7"	163
"Arizona"	"04"	"2012"	"2012"	"Sunday"	"1"	186
"Arizona"	"04"	"2012"	"2012"	"Monday"	"2"	147
"Arizona"	"04"	"2012"	"2012"	"Tuesday"	"3"	138
"Arizona"	"04"	"2012"	"2012"	"Wednesday"	"4"	168
"Arizona"	"04"	"2012"	"2012"	"Thursday"	"5"	154
"Arizona"	"04"	"2012"	"2012"	"Friday"	"6"	158
"Arizona"	"04"	"2012"	"2012"	"Saturday"	"7"	175
"Arizona"	"04"	"2013"	"2013"	"Sunday"	"1"	190
"Arizona"	"04"	"2013"	"2013"	"Monday"	"2"	181
"Arizona"	"04"	"2013"	"2013"	"Tuesday"	"3"	177
"Arizona"	"04"	"2013"	"2013"	"Wednesday"	"4"	148
"Arizona"	"04"	"2013"	"2013"	"Thursday"	"5"	148
"Arizona"	"04"	"2013"	"2013"	"Friday"	"6"	179
"Arizona"	"04"	"2013"	"2013"	"Saturday"	"7"	189
"Arizona"	"04"	"2014"	"2014"	"Sunday"	"1"	190
"Arizona"	"04"	"2014"	"2014"	"Monday"	"2"	179
"Arizona"	"04"	"2014"	"2014"	"Tuesday"	"3"	170
"Arizona"	"04"	"2014"	"2014"	"Wednesday"	"4"	145
"Arizona"	"04"	"2014"	"2014"	"Thursday"	"5"	193
"Arizona"	"04"	"2014"	"2014"	"Friday"	"6"	151
"Arizona"	"04"	"2014"	"2014"	"Saturday"	"7"	179
"Arizona"	"04"	"2015"	"2015"	"Sunday"	"1"	180
"Arizona"	"04"	"2015"	"2015"	"Monday"	"2"	189
"Arizona"	"04"	"2015"	"2015"	"Tuesday"	"3"	176
"Arizona"	"04"	"2015"	"2015"	"Wednesday"	"4"	158
"Arizona"	"04"	"2015"	"2015"	"Thursday"	"5"	198
"Arizona"	"04"	"2015"	"2015"	"Friday"	"6"	164
"Arizona"	"04"	"2015"	"2015"	"Saturday"	"7"	196
"Arkansas"	"05"	"1999"	"1999"	"Sunday"	"1"	14
"Arkansas"	"05"	"1999"	"1999"	"Monday"	"2"	12
"Arkansas"	"05"	"1999"	"1999"	"Tuesday"	"3"	20
"Arkansas"	"05"	"1999"	"1999"	"Wednesday"	"4"	17
"Arkansas"	"05"	"1999"	"1999"	"Thursday"	"5"	15
"Arkansas"	"05"	"1999"	"1999"	"Friday"	"6"	12
"Arkansas"	"05"	"1999"	"1999"	"Saturday"	"7"	19
"Arkansas"	"05"	"2000"	"2000"	"Sunday"	"1"	18
"Arkansas"	"05"	"2000"	"2000"	"Monday"	"2"	17
"Arkansas"	"05"	"2000"	"2000"	"Tuesday"	"3"	16
"Arkansas"	"05"	"2000"	"2000"	"Wednesday"	"4"	25
"Arkansas"	"05"	"2000"	"2000"	"Thursday"	"5"	18
"Arkansas"	"05"	"2000"	"2000"	"Friday"	"6"	20
"Arkansas"	"05"	"2000"	"2000"	"Saturday"	"7"	25
"Arkansas"	"05"	"2001"	"2001"	"Sunday"	"1"	25
"Arkansas"	"05"	"2001"	"2001"	"Monday"	"2"	15
"Arkansas"	"05"	"2001"	"2001"	"Tuesday"	"3"	20
"Arkansas"	"05"	"2001"	"2001"	"Wednesday"	"4"	17
"Arkansas"	"05"	"2001"	"2001"	"Thursday"	"5"	16
"Arkansas"	"05"	"2001"	"2001"	"Friday"	"6"	15
"Arkansas"	"05"	"2001"	"2001"	"Saturday"	"7"	15
"Arkansas"	"05"	"2002"	"2002"	"Sunday"	"1"	31
"Arkansas"	"05"	"2002"	"2002"	"Monday"	"2"	22
"Arkansas"	"05"	"2002"	"2002"	"Tuesday"	"3"	26
"Arkansas"	"05"	"2002"	"2002"	"Wednesday"	"4"	26
"Arkansas"	"05"	"2002"	"2002"	"Thursday"	"5"	21
"Arkansas"	"05"	"2002"	"2002"	"Friday"	"6"	24
"Arkansas"	"05"	"2002"	"2002"	"Saturday"	"7"	19
"Arkansas"	"05"	"2003"	"2003"	"Sunday"	"1"	29
"Arkansas"	"05"	"2003"	"2003"	"Monday"	"2"	25
"Arkansas"	"05"	"2003"	"2003"	"Tuesday"	"3"	20
"Arkansas"	"05"	"2003"	"2003"	"Wednesday"	"4"	26
"Arkansas"	"05"	"2003"	"2003"	"Thursday"	"5"	25
"Arkansas"	"05"	"2003"	"2003"	"Friday"	"6"	36
"Arkansas"	"05"	"2003"	"2003"	"Saturday"	"7"	18
"Arkansas"	"05"	"2004"	"2004"	"Sunday"	"1"	36
"Arkansas"	"05"	"2004"	"2004"	"Monday"	"2"	26
"Arkansas"	"05"	"2004"	"2004"	"Tuesday"	"3"	33
"Arkansas"	"05"	"2004"	"2004"	"Wednesday"	"4"	26
"Arkansas"	"05"	"2004"	"2004"	"Thursday"	"5"	36
"Arkansas"	"05"	"2004"	"2004"	"Friday"	"6"	37
"Arkansas"	"05"	"2004"	"2004"	"Saturday"	"7"	30
"Arkansas"	"05"	"2005"	"2005"	"Sunday"	"1"	42
"Arkansas"	"05"	"2005"	"2005"	"Monday"	"2"	26
"Arkansas"	"05"	"2005"	"2005"	"Tuesday"	"3"	39
"Arkansas"	"05"	"2005"	"2005"	"Wednesday"	"4"	31
"Arkansas"	"05"	"2005"	"2005"	"Thursday"	"5"	37
