	State	State Code	Year	Year Code	Deaths	Population	Crude Rate	Row	Space
152	District of Columbia	11	2015	2015	124	672228	18.4	4	10
153	Florida	12	1999	1999	965	15759421	6.1	7	9
154	Florida	12	2000	2000	1132	15982378	7.1	7	9
155	Florida	12	2001	2001	1705	16356966	10.4	7	9
156	Florida	12	2002	2002	1896	16689370	11.4	7	9
157	Florida	12	2003	2003	2022	17004085	11.9	7	9
158	Florida	12	2004	2004	2231	17415318	12.8	7	9
159	Florida	12	2005	2005	2331	17842038	13.1	7	9
160	Florida	12	2006	2006	2547	18166990	14.0	7	9
161	Florida	12	2007	2007	2761	18367842	15.0	7	9
162	Florida	12	2008	2008	2927	18527305	15.8	7	9
163	Florida	12	2009	2009	3053	18652644	16.4	7	9
164	Florida	12	2010	2010	3026	18801310	16.1	7	9
165	Florida	12	2011	2011	2885	19057542	15.1	7	9
166	Florida	12	2012	2012	2571	19317568	13.3	7	9
167	Florida	12	2013	2013	2450	19552860	12.5	7	9
168	Florida	12	2014	2014	2609	19893297	13.1	7	9
169	Florida	12	2015	2015	3207	20271272	15.8	7	9
170	Georgia	13	1999	1999	274	8045965	3.4	6	8
171	Georgia	13	2000	2000	353	8186453	4.3	6	8
172	Georgia	13	2001	2001	490	8377038	5.8	6	8
173	Georgia	13	2002	2002	548	8508256	6.4	6	8
174	Georgia	13	2003	2003	593	8622793	6.9	6	8
175	Georgia	13	2004	2004	658	8769252	7.5	6	8
176	Georgia	13	2005	2005	721	8925922	8.1	6	8
177	Georgia	13	2006	2006	821	9155813	9.0	6	8
178	Georgia	13	2007	2007	907	9349988	9.7	6	8
179	Georgia	13	2008	2008	926	9504843	9.7	6	8
180	Georgia	13	2009	2009	988	9620846	10.3	6	8
181	Georgia	13	2010	2010	1045	9687653	10.8	6	8
182	Georgia	13	2011	2011	1051	9815210	10.7	6	8
183	Georgia	13	2012	2012	1048	9919945	10.6	6	8
184	Georgia	13	2013	2013	1081	9992167	10.8	6	8
185	Georgia	13	2014	2014	1201	10097343	11.9	6	8
186	Georgia	13	2015	2015	1291	10214860	12.6	6	8
187	Hawaii	15	1999	1999	74	1210300	6.1	7	1
188	Hawaii	15	2000	2000	61	1211537	5.0	7	1
189	Hawaii	15	2001	2001	75	1225948	6.1	7	1
190	Hawaii	15	2002	2002	76	1239613	6.1	7	1
191	Hawaii	15	2003	2003	92	1251154	7.4	7	1
192	Hawaii	15	2004	2004	103	1273569	8.1	7	1
193	Hawaii	15	2005	2005	126	1292729	9.7	7	1
194	Hawaii	15	2006	2006	85	1309731	6.5	7	1
195	Hawaii	15	2007	2007	136	1315675	10.3	7	1
196	Hawaii	15	2008	2008	122	1332213	9.2	7	1
197	Hawaii	15	2009	2009	135	1346717	10.0	7	1
198	Hawaii	15	2010	2010	151	1360301	11.1	7	1
199	Hawaii	15	2011	2011	179	1374810	13.0	7	1
200	Hawaii	15	2012	2012	154	1392313	11.1	7	1
201	Hawaii	15	2013	2013	157	1404054	11.2	7	1
202	Hawaii	15	2014	2014	155	1419561	10.9	7	1
203	Hawaii	15	2015	2015	168	1431603	11.7	7	1
204	Idaho	16	1999	1999	64	1275674	5.0	2	2
205	Idaho	16	2000	2000	64	1293953	4.9	2	2
206	Idaho	16	2001	2001	93	1319962	7.0	2	2
207	Idaho	16	2002	2002	113	1340372	8.4	2	2
208	Idaho	16	2003	2003	100	1363380	7.3	2	2
209	Idaho	16	2004	2004	96	1391802	6.9	2	2
210	Idaho	16	2005	2005	109	1428241	7.6	2	2
211	Idaho	16	2006	2006	126	1468669	8.6	2	2
212	Idaho	16	2007	2007	124	1505105	8.2	2	2
213	Idaho	16	2008	2008	144	1534320	9.4	2	2
214	Idaho	16	2009	2009	169	1554439	10.9	2	2
215	Idaho	16	2010	2010	177	1567582	11.3	2	2
216	Idaho	16	2011	2011	191	1584985	12.1	2	2
217	Idaho	16	2012	2012	180	1595728	11.3	2	2
218	Idaho	16	2013	2013	205	1612136	12.7	2	2
219	Idaho	16	2014	2014	209	1634464	12.8	2	2
220	Idaho	16	2015	2015	216	1654930	13.1	2	2
221	Illinois	17	1999	1999	805	12359020	6.5	2	6
222	Illinois	17	2000	2000	854	12419293	6.9	2	6
223	Illinois	17	2001	2001	873	12488445	7.0	2	6
224	Illinois	17	2002	2002	959	12525556	7.7	2	6
225	Illinois	17	2003	2003	829	12556006	6.6	2	6
226	Illinois	17	2004	2004	1013	12589773	8.0	2	6
227	Illinois	17	2005	2005	1046	12609903	8.3	2	6
228	Illinois	17	2006	2006	1344	12643955	10.6	2	6
229	Illinois	17	2007	2007	1174	12695866	9.2	2	6
230	Illinois	17	2008	2008	1326	12747038	10.4	2	6
231	Illinois	17	2009	2009	1364	12796778	10.7	2	6
232	Illinois	17	2010	2010	1277	12830632	10.0	2	6
233	Illinois	17	2011	2011	1395	12869257	10.8	2	6
234	Illinois	17	2012	2012	1616	12875255	12.6	2	6
235	Illinois	17	2013	2013	1559	12882135	12.1	2	6
236	Illinois	17	2014	2014	1687	12880580	13.1	2	6
237	Illinois	17	2015	2015	1824	12859995	14.2	2	6
238	Indiana	18	1999	1999	184	6044969	3.0	3	6
239	Indiana	18	2000	2000	204	6080485	3.4	3	6
240	Indiana	18	2001	2001	279	6127760	4.6	3	6
241	Indiana	18	2002	2002	284	6155967	4.6	3	6
242	Indiana	18	2003	2003	424	6196638	6.8	3	6
243	Indiana	18	2004	2004	530	6233007	8.5	3	6
244	Indiana	18	2005	2005	606	6278616	9.7	3	6
245	Indiana	18	2006	2006	728	6332669	11.5	3	6
246	Indiana	18	2007	2007	770	6379599	12.1	3	6
247	Indiana	18	2008	2008	824	6424806	12.8	3	6
248	Indiana	18	2009	2009	887	6459325	13.7	3	6
249	Indiana	18	2010	2010	911	6483802	14.1	3	6
250	Indiana	18	2011	2011	968	6516922	14.9	3	6
251	Indiana	18	2012	2012	999	6537334	15.3	3	6
252	Indiana	18	2013	2013	1050	6570902	16.0	3	6
253	Indiana	18	2014	2014	1164	6596855	17.6	3	6
254	Indiana	18	2015	2015	1238	6619680	18.7	3	6
255	Iowa	19	1999	1999	48	2917634	1.6	3	5
256	Iowa	19	2000	2000	67	2926324	2.3	3	5
257	Iowa	19	2001	2001	86	2931997	2.9	3	5
258	Iowa	19	2002	2002	85	2934234	2.9	3	5
259	Iowa	19	2003	2003	92	2941999	3.1	3	5
260	Iowa	19	2004	2004	122	2953635	4.1	3	5
261	Iowa	19	2005	2005	133	2964454	4.5	3	5
262	Iowa	19	2006	2006	180	2982644	6.0	3	5
263	Iowa	19	2007	2007	198	2999212	6.6	3	5
264	Iowa	19	2008	2008	202	3016734	6.7	3	5
265	Iowa	19	2009	2009	203	3032870	6.7	3	5
266	Iowa	19	2010	2010	246	3046355	8.1	3	5
267	Iowa	19	2011	2011	249	3062309	8.1	3	5
268	Iowa	19	2012	2012	256	3074186	8.3	3	5
269	Iowa	19	2013	2013	272	3090416	8.8	3	5
270	Iowa	19	2014	2014	256	3107126	8.2	3	5
271	Iowa	19	2015	2015	300	3123899	9.6	3	5
272	Kansas	20	1999	1999	86	2678338	3.2	5	4
273	Kansas	20	2000	2000	98	2688418	3.6	5	4
274	Kansas	20	2001	2001	128	2702162	4.7	5	4
275	Kansas	20	2002	2002	165	2713535	6.1	5	4
276	Kansas	20	2003	2003	182	2723004	6.7	5	4
277	Kansas	20	2004	2004	215	2734373	7.9	5	4
278	Kansas	20	2005	2005	237	2745299	8.6	5	4
279	Kansas	20	2006	2006	253	2762931	9.2	5	4
280	Kansas	20	2007	2007	268	2783785	9.6	5	4
281	Kansas	20	2008	2008	216	2808076	7.7	5	4
282	Kansas	20	2009	2009	299	2832704	10.6	5	4
283	Kansas	20	2010	2010	267	2853118	9.4	5	4
284	Kansas	20	2011	2011	278	2871238	9.7	5	4
285	Kansas	20	2012	2012	318	2885905	11.0	5	4
286	Kansas	20	2013	2013	324	2893957	11.2	5	4
287	Kansas	20	2014	2014	326	2904021	11.2	5	4
288	Kansas	20	2015	2015	327	2911641	11.2	5	4
289	Kentucky	21	1999	1999	189	4018053	4.7	4	6
290	Kentucky	21	2000	2000	228	4041769	5.6	4	6
291	Kentucky	21	2001	2001	339	4068132	8.3	4	6
292	Kentucky	21	2002	2002	421	4089875	10.3	4	6
293	Kentucky	21	2003	2003	550	4117170	13.4	4	6
294	Kentucky	21	2004	2004	516	4146101	12.4	4	6
295	Kentucky	21	2005	2005	633	4182742	15.1	4	6
296	Kentucky	21	2006	2006	717	4219239	17.0	4	6
297	Kentucky	21	2007	2007	701	4256672	16.5	4	6
298	Kentucky	21	2008	2008	745	4289878	17.4	4	6
299	Kentucky	21	2009	2009	765	4317074	17.7	4	6
300	Kentucky	21	2010	2010	1003	4339367	23.1	4	6
301	Kentucky	21	2011	2011	1056	4369356	24.2	4	6
302	Kentucky	21	2012	2012	1072	4380415	24.5	4	6
303	Kentucky	21	2013	2013	1018	4395295	23.2	4	6
304	Kentucky	21	2014	2014	1072	4413457	24.3	4	6
305	Kentucky	21	2015	2015	1268	4425092	28.7	4	6
306	Louisiana	22	1999	1999	186	4460811	4.2	6	5
307	Louisiana	22	2000	2000	241	4468976	5.4	6	5
308	Louisiana	22	2001	2001	262	4477875	5.9	6	5
309	Louisiana	22	2002	2002	359	4497267	8.0	6	5
310	Louisiana	22	2003	2003	524	4521042	11.6	6	5
311	Louisiana	22	2004	2004	534	4552238	11.7	6	5
312	Louisiana	22	2005	2005	656	4576628	14.3	6	5
313	Louisiana	22	2006	2006	702	4302665	16.3	6	5
314	Louisiana	22	2007	2007	803	4375581	18.4	6	5
315	Louisiana	22	2008	2008	638	4435586	14.4	6	5
316	Louisiana	22	2009	2009	577	4491648	12.8	6	5
317	Louisiana	22	2010	2010	587	4533372	12.9	6	5
318	Louisiana	22	2011	2011	597	4574836	13.0	6	5
319	Louisiana	22	2012	2012	561	4601893	12.2	6	5
320	Louisiana	22	2013	2013	808	4625470	17.5	6	5
321	Louisiana	22	2014	2014	773	4649676	16.6	6	5
322	Louisiana	22	2015	2015	853	4670724	18.3	6	5
323	Maine	23	1999	1999	65	1266808	5.1	0	11
324	Maine	23	2000	2000	61	1274923	4.8	0	11
325	Maine	23	2001	2001	85	1285692	6.6	0	11
326	Maine	23	2002	2002	137	1295960	10.6	0	11
327	Maine	23	2003	2003	131	1306513	10.0	0	11
328	Maine	23	2004	2004	140	1313688	10.7	0	11
329	Maine	23	2005	2005	163	1318787	12.4	0	11
330	Maine	23	2006	2006	158	1323619	11.9	0	11
331	Maine	23	2007	2007	158	1327040	11.9	0	11
332	Maine	23	2008	2008	159	1330509	12.0	0	11
333	Maine	23	2009	2009	169	1329590	12.7	0	11
334	Maine	23	2010	2010	132	1328361	9.9	0	11
335	Maine	23	2011	2011	154	1328188	11.6	0	11
336	Maine	23	2012	2012	149	1329192	11.2	0	11
337	Maine	23	2013	2013	172	1328302	12.9	0	11
338	Maine	23	2014	2014	215	1330089	16.2	0	11
339	Maine	23	2015	2015	269	1329328	20.2	0	11
340	Maryland	24	1999	1999	625	5254509	11.9	4	9
341	Maryland	24	2000	2000	613	5296486	11.6	4	9
342	Maryland	24	2001	2001	629	5374691	11.7	4	9
343	Maryland	24	2002	2002	713	5440389	13.1	4	9
344	Maryland	24	2003	2003	770	5496269	14.0	4	9
345	Maryland	24	2004	2004	667	5546935	12.0	4	9
346	Maryland	24	2005	2005	646	5592379	11.6	4	9
347	Maryland	24	2006	2006	752	5627367	13.4	4	9
348	Maryland	24	2007	2007	759	5653408	13.4	4	9
349	Maryland	24	2008	2008	669	5684965	11.8	4	9
350	Maryland	24	2009	2009	735	5730388	12.8	4	9
351	Maryland	24	2010	2010	637	5773552	11.0	4	9
352	Maryland	24	2011	2011	697	5828289	12.0	4	9
353	Maryland	24	2012	2012	820	5884563	13.9	4	9
354	Maryland	24	2013	2013	889	5928814	15.0	4	9
355	Maryland	24	2014	2014	1062	5976407	17.8	4	9
356	Maryland	24	2015	2015	1270	6006401	21.1	4	9
357	Massachusetts	25	1999	1999	478	6317345	7.6	2	11
358	Massachusetts	25	2000	2000	460	6349097	7.2	2	11
359	Massachusetts	25	2001	2001	672	6397634	10.5	2	11
360	Massachusetts	25	2002	2002	698	6417206	10.9	2	11
361	Massachusetts	25	2003	2003	815	6422565	12.7	2	11
362	Massachusetts	25	2004	2004	661	6412281	10.3	2	11
363	Massachusetts	25	2005	2005	768	6403290	12.0	2	11
364	Massachusetts	25	2006	2006	962	6410084	15.0	2	11
365	Massachusetts	25	2007	2007	912	6431559	14.2	2	11
366	Massachusetts	25	2008	2008	778	6468967	12.0	2	11
367	Massachusetts	25	2009	2009	807	6517613	12.4	2	11
368	Massachusetts	25	2010	2010	732	6547629	11.2	2	11
369	Massachusetts	25	2011	2011	853	6587536	12.9	2	11
370	Massachusetts	25	2012	2012	851	6646144	12.8	2	11
371	Massachusetts	25	2013	2013	1074	6692824	16.0	2	11
372	Massachusetts	25	2014	2014	1285	6745408	19.0	2	11
373	Massachusetts	25	2015	2015	1718	6794422	25.3	2	11
374	Michigan	26	1999	1999	446	9897116	4.5	2	8
375	Michigan	26	2000	2000	546	9938444	5.5	2	8
376	Michigan	26	2001	2001	594	9991120	5.9	2	8
377	Michigan	26	2002	2002	730	10015710	7.3	2	8
378	Michigan	26	2003	2003	745	10041152	7.4	2	8
379	Michigan	26	2004	2004	854	10055315	8.5	2	8
380	Michigan	26	2005	2005	966	10051137	9.6	2	8
381	Michigan	26	2006	2006	1157	10036081	11.5	2	8
382	Michigan	26	2007	2007	1212	10001284	12.1	2	8
383	Michigan	26	2008	2008	1219	9946889	12.3	2	8
384	Michigan	26	2009	2009	1407	9901591	14.2	2	8
385	Michigan	26	2010	2010	1381	9883640	14.0	2	8
386	Michigan	26	2011	2011	1366	9876187	13.8	2	8
387	Michigan	26	2012	2012	1293	9883360	13.1	2	8
388	Michigan	26	2013	2013	1537	9895622	15.5	2	8
389	Michigan	26	2014	2014	1753	9909877	17.7	2	8
390	Michigan	26	2015	2015	1968	9922576	19.8	2	8
391	Minnesota	27	1999	1999	133	4873481	2.7	2	5
392	Minnesota	27	2000	2000	126	4919479	2.6	2	5
393	Minnesota	27	2001	2001	178	4982796	3.6	2	5
394	Minnesota	27	2002	2002	193	5018935	3.8	2	5
395	Minnesota	27	2003	2003	235	5053572	4.7	2	5
396	Minnesota	27	2004	2004	240	5087713	4.7	2	5
397	Minnesota	27	2005	2005	279	5119598	5.4	2	5
398	Minnesota	27	2006	2006	300	5163555	5.8	2	5
399	Minnesota	27	2007	2007	327	5207203	6.3	2	5
400	Minnesota	27	2008	2008	374	5247018	7.1	2	5
401	Minnesota	27	2009	2009	413	5281203	7.8	2	5
402	Minnesota	27	2010	2010	393	5303925	7.4	2	5
403	Minnesota	27	2011	2011	508	5344861	9.5	2	5
404	Minnesota	27	2012	2012	478	5379139	8.9	2	5
405	Minnesota	27	2013	2013	517	5420380	9.5	2	5
406	Minnesota	27	2014	2014	509	5457173	9.3	2	5
407	Minnesota	27	2015	2015	577	5489594	10.5	2	5
408	Mississippi	28	1999	1999	86	2828408	3.0	6	6
409	Mississippi	28	2000	2000	108	2844658	3.8	6	6
410	Mississippi	28	2001	2001	164	2852994	5.7	6	6
411	Mississippi	28	2002	2002	176	2858681	6.2	6	6
412	Mississippi	28	2003	2003	205	2868312	7.1	6	6
413	Mississippi	28	2004	2004	212	2889010	7.3	6	6
414	Mississippi	28	2005	2005	240	2905943	8.3	6	6
415	Mississippi	28	2006	2006	328	2904978	11.3	6	6
416	Mississippi	28	2007	2007	308	2928350	10.5	6	6
417	Mississippi	28	2008	2008	299	2947806	10.1	6	6
418	Mississippi	28	2009	2009	315	2958774	10.6	6	6
419	Mississippi	28	2010	2010	328	2967297	11.1	6	6
420	Mississippi	28	2011	2011	298	2978512	10.0	6	6
421	Mississippi	28	2012	2012	306	2984926	10.3	6	6
422	Mississippi	28	2013	2013	312	2991207	10.4	6	6
423	Mississippi	28	2014	2014	331	2994079	11.1	6	6
424	Mississippi	28	2015	2015	347	2992333	11.6	6	6
425	Missouri	29	1999	1999	270	5561948	4.9	4	5
426	Missouri	29	2000	2000	289	5595211	5.2	4	5
427	Missouri	29	2001	2001	341	5641142	6.0	4	5
428	Missouri	29	2002	2002	413	5674825	7.3	4	5
429	Missouri	29	2003	2003	508	5709403	8.9	4	5
430	Missouri	29	2004	2004	535	5747741	9.3	4	5
431	Missouri	29	2005	2005	595	5790300	10.3	4	5
432	Missouri	29	2006	2006	736	5842704	12.6	4	5
433	Missouri	29	2007	2007	700	5887612	11.9	4	5
434	Missouri	29	2008	2008	747	5923916	12.6	4	5
435	Missouri	29	2009	2009	847	5961088	14.2	4	5
436	Missouri	29	2010	2010	990	5988927	16.5	4	5
437	Missouri	29	2011	2011	945	6010688	15.7	4	5
438	Missouri	29	2012	2012	929	6021988	15.4	4	5
439	Missouri	29	2013	2013	1019	6044171	16.9	4	5
440	Missouri	29	2014	2014	1051	6063589	17.3	4	5
441	Missouri	29	2015	2015	1054	6083672	17.3	4	5
442	Montana	30	1999	1999	39	897507	4.3	2	3
443	Montana	30	2000	2000	39	902195	4.3	2	3
444	Montana	30	2001	2001	55	906961	6.1	2	3
445	Montana	30	2002	2002	76	911667	8.3	2	3
446	Montana	30	2003	2003	93	919630	10.1	2	3
447	Montana	30	2004	2004	98	930009	10.5	2	3
448	Montana	30	2005	2005	93	940102	9.9	2	3
449	Montana	30	2006	2006	96	952692	10.1	2	3
450	Montana	30	2007	2007	120	964706	12.4	2	3
451	Montana	30	2008	2008	133	976415	13.6	2	3
452	Montana	30	2009	2009	140	983982	14.2	2	3
453	Montana	30	2010	2010	117	989415	11.8	2	3
454	Montana	30	2011	2011	139	998199	13.9	2	3
455	Montana	30	2012	2012	116	1005141	11.5	2	3
456	Montana	30	2013	2013	137	1015165	13.5	2	3
457	Montana	30	2014	2014	122	1023579	11.9	2	3
458	Montana	30	2015	2015	135	1032949	13.1	2	3
459	Nebraska	31	1999	1999	36	1704764	2.1	4	4
460	Nebraska	31	2000	2000	44	1711263	2.6	4	4
461	Nebraska	31	2001	2001	66	1719836	3.8	4	4
462	Nebraska	31	2002	2002	65	1728292	3.8	4	4
463	Nebraska	31	2003	2003	53	1738643	3.0	4	4
464	Nebraska	31	2004	2004	57	1749370	3.3	4	4
465	Nebraska	31	2005	2005	83	1761497	4.7	4	4
466	Nebraska	31	2006	2006	86	1772693	4.9	4	4
467	Nebraska	31	2007	2007	76	1783440	4.3	4	4
468	Nebraska	31	2008	2008	90	1796378	5.0	4	4
469	Nebraska	31	2009	2009	104	1812683	5.7	4	4
470	Nebraska	31	2010	2010	114	1826341	6.2	4	4
471	Nebraska	31	2011	2011	127	1842641	6.9	4	4
472	Nebraska	31	2012	2012	142	1855525	7.7	4	4
473	Nebraska	31	2013	2013	115	1868516	6.2	4	4
474	Nebraska	31	2014	2014	124	1881503	6.6	4	4
475	Nebraska	31	2015	2015	125	1896190	6.6	4	4
