"State"	"State Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
"Kentucky"	"21"	"Medical Facility - Dead on Arrival"	"3"	298	Not Applicable	Not Applicable
"Kentucky"	"21"	"Medical Facility - Status unknown"	"10"	13	Not Applicable	Not Applicable
"Kentucky"	"21"	"Decedent's home"	"4"	6772	Not Applicable	Not Applicable
"Kentucky"	"21"	"Hospice facility"	"5"	13	Not Applicable	Not Applicable
"Kentucky"	"21"	"Nursing home/long term care"	"6"	37	Not Applicable	Not Applicable
"Kentucky"	"21"	"Other"	"7"	1938	Not Applicable	Not Applicable
"Kentucky"	"21"	"Place of death unknown"	"9"	36	Not Applicable	Not Applicable
"Louisiana"	"22"	"Medical Facility - Inpatient"	"1"	974	Not Applicable	Not Applicable
"Louisiana"	"22"	"Medical Facility - Outpatient or ER"	"2"	1324	Not Applicable	Not Applicable
"Louisiana"	"22"	"Medical Facility - Dead on Arrival"	"3"	159	Not Applicable	Not Applicable
"Louisiana"	"22"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Louisiana"	"22"	"Decedent's home"	"4"	5055	Not Applicable	Not Applicable
"Louisiana"	"22"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Louisiana"	"22"	"Nursing home/long term care"	"6"	31	Not Applicable	Not Applicable
"Louisiana"	"22"	"Other"	"7"	2088	Not Applicable	Not Applicable
"Louisiana"	"22"	"Place of death unknown"	"9"	23	Not Applicable	Not Applicable
"Maine"	"23"	"Medical Facility - Inpatient"	"1"	218	Not Applicable	Not Applicable
"Maine"	"23"	"Medical Facility - Outpatient or ER"	"2"	259	Not Applicable	Not Applicable
"Maine"	"23"	"Medical Facility - Dead on Arrival"	"3"	36	Not Applicable	Not Applicable
"Maine"	"23"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Maine"	"23"	"Decedent's home"	"4"	1629	Not Applicable	Not Applicable
"Maine"	"23"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Maine"	"23"	"Nursing home/long term care"	"6"	12	Not Applicable	Not Applicable
"Maine"	"23"	"Other"	"7"	354	Not Applicable	Not Applicable
"Maine"	"23"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Maryland"	"24"	"Medical Facility - Inpatient"	"1"	991	Not Applicable	Not Applicable
"Maryland"	"24"	"Medical Facility - Outpatient or ER"	"2"	3582	Not Applicable	Not Applicable
"Maryland"	"24"	"Medical Facility - Dead on Arrival"	"3"	281	Not Applicable	Not Applicable
"Maryland"	"24"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Maryland"	"24"	"Decedent's home"	"4"	439	Not Applicable	Not Applicable
"Maryland"	"24"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Maryland"	"24"	"Nursing home/long term care"	"6"	17	Not Applicable	Not Applicable
"Maryland"	"24"	"Other"	"7"	7601	Not Applicable	Not Applicable
"Maryland"	"24"	"Place of death unknown"	"9"	38	Not Applicable	Not Applicable
"Massachusetts"	"25"	"Medical Facility - Inpatient"	"1"	1347	Not Applicable	Not Applicable
"Massachusetts"	"25"	"Medical Facility - Outpatient or ER"	"2"	2922	Not Applicable	Not Applicable
"Massachusetts"	"25"	"Medical Facility - Dead on Arrival"	"3"	1426	Not Applicable	Not Applicable
"Massachusetts"	"25"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Massachusetts"	"25"	"Decedent's home"	"4"	7303	Not Applicable	Not Applicable
"Massachusetts"	"25"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Massachusetts"	"25"	"Nursing home/long term care"	"6"	33	Not Applicable	Not Applicable
"Massachusetts"	"25"	"Other"	"7"	1476	Not Applicable	Not Applicable
"Massachusetts"	"25"	"Place of death unknown"	"9"	12	Not Applicable	Not Applicable
"Michigan"	"26"	"Medical Facility - Inpatient"	"1"	1697	Not Applicable	Not Applicable
"Michigan"	"26"	"Medical Facility - Outpatient or ER"	"2"	2771	Not Applicable	Not Applicable
"Michigan"	"26"	"Medical Facility - Dead on Arrival"	"3"	710	Not Applicable	Not Applicable
"Michigan"	"26"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Michigan"	"26"	"Decedent's home"	"4"	10445	Not Applicable	Not Applicable
"Michigan"	"26"	"Hospice facility"	"5"	13	Not Applicable	Not Applicable
"Michigan"	"26"	"Nursing home/long term care"	"6"	95	Not Applicable	Not Applicable
"Michigan"	"26"	"Other"	"7"	3409	Not Applicable	Not Applicable
"Michigan"	"26"	"Place of death unknown"	"9"	32	Not Applicable	Not Applicable
"Minnesota"	"27"	"Medical Facility - Inpatient"	"1"	579	Not Applicable	Not Applicable
"Minnesota"	"27"	"Medical Facility - Outpatient or ER"	"2"	369	Not Applicable	Not Applicable
"Minnesota"	"27"	"Medical Facility - Dead on Arrival"	"3"	56	Not Applicable	Not Applicable
"Minnesota"	"27"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Minnesota"	"27"	"Decedent's home"	"4"	3632	Not Applicable	Not Applicable
"Minnesota"	"27"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Minnesota"	"27"	"Nursing home/long term care"	"6"	40	Not Applicable	Not Applicable
"Minnesota"	"27"	"Other"	"7"	1082	Not Applicable	Not Applicable
"Minnesota"	"27"	"Place of death unknown"	"9"	18	Not Applicable	Not Applicable
"Mississippi"	"28"	"Medical Facility - Inpatient"	"1"	503	Not Applicable	Not Applicable
"Mississippi"	"28"	"Medical Facility - Outpatient or ER"	"2"	667	Not Applicable	Not Applicable
"Mississippi"	"28"	"Medical Facility - Dead on Arrival"	"3"	83	Not Applicable	Not Applicable
"Mississippi"	"28"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Mississippi"	"28"	"Decedent's home"	"4"	2268	Not Applicable	Not Applicable
"Mississippi"	"28"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Mississippi"	"28"	"Nursing home/long term care"	"6"	15	Not Applicable	Not Applicable
"Mississippi"	"28"	"Other"	"7"	823	Not Applicable	Not Applicable
"Mississippi"	"28"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Missouri"	"29"	"Medical Facility - Inpatient"	"1"	1167	Not Applicable	Not Applicable
"Missouri"	"29"	"Medical Facility - Outpatient or ER"	"2"	1914	Not Applicable	Not Applicable
"Missouri"	"29"	"Medical Facility - Dead on Arrival"	"3"	202	Not Applicable	Not Applicable
"Missouri"	"29"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Missouri"	"29"	"Decedent's home"	"4"	6903	Not Applicable	Not Applicable
"Missouri"	"29"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Missouri"	"29"	"Nursing home/long term care"	"6"	57	Not Applicable	Not Applicable
"Missouri"	"29"	"Other"	"7"	1717	Not Applicable	Not Applicable
"Missouri"	"29"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Montana"	"30"	"Medical Facility - Inpatient"	"1"	188	Not Applicable	Not Applicable
"Montana"	"30"	"Medical Facility - Outpatient or ER"	"2"	187	Not Applicable	Not Applicable
"Montana"	"30"	"Medical Facility - Dead on Arrival"	"3"	14	Not Applicable	Not Applicable
"Montana"	"30"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Montana"	"30"	"Decedent's home"	"4"	1080	Not Applicable	Not Applicable
"Montana"	"30"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Montana"	"30"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Montana"	"30"	"Other"	"7"	267	Not Applicable	Not Applicable
"Montana"	"30"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Nebraska"	"31"	"Medical Facility - Inpatient"	"1"	170	Not Applicable	Not Applicable
"Nebraska"	"31"	"Medical Facility - Outpatient or ER"	"2"	221	Not Applicable	Not Applicable
"Nebraska"	"31"	"Medical Facility - Dead on Arrival"	"3"	14	Not Applicable	Not Applicable
"Nebraska"	"31"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Nebraska"	"31"	"Decedent's home"	"4"	862	Not Applicable	Not Applicable
"Nebraska"	"31"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Nebraska"	"31"	"Nursing home/long term care"	"6"	11	Not Applicable	Not Applicable
"Nebraska"	"31"	"Other"	"7"	228	Not Applicable	Not Applicable
"Nebraska"	"31"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Nevada"	"32"	"Medical Facility - Inpatient"	"1"	656	Not Applicable	Not Applicable
"Nevada"	"32"	"Medical Facility - Outpatient or ER"	"2"	844	Not Applicable	Not Applicable
"Nevada"	"32"	"Medical Facility - Dead on Arrival"	"3"	16	Not Applicable	Not Applicable
"Nevada"	"32"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Nevada"	"32"	"Decedent's home"	"4"	5012	Not Applicable	Not Applicable
"Nevada"	"32"	"Hospice facility"	"5"	18	Not Applicable	Not Applicable
"Nevada"	"32"	"Nursing home/long term care"	"6"	21	Not Applicable	Not Applicable
"Nevada"	"32"	"Other"	"7"	1180	Not Applicable	Not Applicable
"Nevada"	"32"	"Place of death unknown"	"9"	34	Not Applicable	Not Applicable
"New Hampshire"	"33"	"Medical Facility - Inpatient"	"1"	267	Not Applicable	Not Applicable
"New Hampshire"	"33"	"Medical Facility - Outpatient or ER"	"2"	453	Not Applicable	Not Applicable
"New Hampshire"	"33"	"Medical Facility - Dead on Arrival"	"3"	56	Not Applicable	Not Applicable
"New Hampshire"	"33"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"New Hampshire"	"33"	"Decedent's home"	"4"	1504	Not Applicable	Not Applicable
"New Hampshire"	"33"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"New Hampshire"	"33"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"New Hampshire"	"33"	"Other"	"7"	484	Not Applicable	Not Applicable
"New Hampshire"	"33"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"New Jersey"	"34"	"Medical Facility - Inpatient"	"1"	1371	Not Applicable	Not Applicable
"New Jersey"	"34"	"Medical Facility - Outpatient or ER"	"2"	2164	Not Applicable	Not Applicable
"New Jersey"	"34"	"Medical Facility - Dead on Arrival"	"3"	915	Not Applicable	Not Applicable
"New Jersey"	"34"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"New Jersey"	"34"	"Decedent's home"	"4"	6935	Not Applicable	Not Applicable
"New Jersey"	"34"	"Hospice facility"	"5"	22	Not Applicable	Not Applicable
"New Jersey"	"34"	"Nursing home/long term care"	"6"	30	Not Applicable	Not Applicable
"New Jersey"	"34"	"Other"	"7"	2857	Not Applicable	Not Applicable
"New Jersey"	"34"	"Place of death unknown"	"9"	27	Not Applicable	Not Applicable
"New Mexico"	"35"	"Medical Facility - Inpatient"	"1"	750	Not Applicable	Not Applicable
"New Mexico"	"35"	"Medical Facility - Outpatient or ER"	"2"	631	Not Applicable	Not Applicable
"New Mexico"	"35"	"Medical Facility - Dead on Arrival"	"3"	28	Not Applicable	Not Applicable
"New Mexico"	"35"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"New Mexico"	"35"	"Decedent's home"	"4"	4012	Not Applicable	Not Applicable
"New Mexico"	"35"	"Hospice facility"	"5"	18	Not Applicable	Not Applicable
"New Mexico"	"35"	"Nursing home/long term care"	"6"	15	Not Applicable	Not Applicable
"New Mexico"	"35"	"Other"	"7"	1423	Not Applicable	Not Applicable
"New Mexico"	"35"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"New York"	"36"	"Medical Facility - Inpatient"	"1"	2637	Not Applicable	Not Applicable
"New York"	"36"	"Medical Facility - Outpatient or ER"	"2"	4344	Not Applicable	Not Applicable
"New York"	"36"	"Medical Facility - Dead on Arrival"	"3"	1171	Not Applicable	Not Applicable
"New York"	"36"	"Medical Facility - Status unknown"	"10"	36	Not Applicable	Not Applicable
"New York"	"36"	"Decedent's home"	"4"	13673	Not Applicable	Not Applicable
"New York"	"36"	"Hospice facility"	"5"	32	Not Applicable	Not Applicable
"New York"	"36"	"Nursing home/long term care"	"6"	68	Not Applicable	Not Applicable
"New York"	"36"	"Other"	"7"	3737	Not Applicable	Not Applicable
"New York"	"36"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"North Carolina"	"37"	"Medical Facility - Inpatient"	"1"	1693	Not Applicable	Not Applicable
"North Carolina"	"37"	"Medical Facility - Outpatient or ER"	"2"	2301	Not Applicable	Not Applicable
"North Carolina"	"37"	"Medical Facility - Dead on Arrival"	"3"	601	Not Applicable	Not Applicable
"North Carolina"	"37"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"North Carolina"	"37"	"Decedent's home"	"4"	9698	Not Applicable	Not Applicable
"North Carolina"	"37"	"Hospice facility"	"5"	22	Not Applicable	Not Applicable
"North Carolina"	"37"	"Nursing home/long term care"	"6"	53	Not Applicable	Not Applicable
"North Carolina"	"37"	"Other"	"7"	2349	Not Applicable	Not Applicable
"North Carolina"	"37"	"Place of death unknown"	"9"	38	Not Applicable	Not Applicable
"North Dakota"	"38"	"Medical Facility - Inpatient"	"1"	63	Not Applicable	Not Applicable
"North Dakota"	"38"	"Medical Facility - Outpatient or ER"	"2"	51	Not Applicable	Not Applicable
"North Dakota"	"38"	"Medical Facility - Dead on Arrival"	"3"	12	Not Applicable	Not Applicable
"North Dakota"	"38"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
