"County"	"County Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
"Clarke County, AL"	"01025"	"Black or African American"	"2054-5"	Suppressed	197288	Suppressed
"Clarke County, AL"	"01025"	"White"	"2106-3"	17	248309	Unreliable
"Clay County, AL"	"01027"	"American Indian or Alaska Native"	"1002-5"	Suppressed	934	Suppressed
"Clay County, AL"	"01027"	"Asian or Pacific Islander"	"A-PI"	Suppressed	440	Suppressed
"Clay County, AL"	"01027"	"Black or African American"	"2054-5"	Suppressed	37082	Suppressed
"Clay County, AL"	"01027"	"White"	"2106-3"	Suppressed	199055	Suppressed
"Cleburne County, AL"	"01029"	"American Indian or Alaska Native"	"1002-5"	Suppressed	828	Suppressed
"Cleburne County, AL"	"01029"	"Asian or Pacific Islander"	"A-PI"	Suppressed	571	Suppressed
"Cleburne County, AL"	"01029"	"Black or African American"	"2054-5"	Suppressed	9717	Suppressed
"Cleburne County, AL"	"01029"	"White"	"2106-3"	25	237689	10.5
"Coffee County, AL"	"01031"	"American Indian or Alaska Native"	"1002-5"	Suppressed	11433	Suppressed
"Coffee County, AL"	"01031"	"Asian or Pacific Islander"	"A-PI"	Suppressed	13920	Suppressed
"Coffee County, AL"	"01031"	"Black or African American"	"2054-5"	Suppressed	146815	Suppressed
"Coffee County, AL"	"01031"	"White"	"2106-3"	41	634158	6.5
"Colbert County, AL"	"01033"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4597	Suppressed
"Colbert County, AL"	"01033"	"Asian or Pacific Islander"	"A-PI"	Suppressed	4171	Suppressed
"Colbert County, AL"	"01033"	"Black or African American"	"2054-5"	Suppressed	154645	Suppressed
"Colbert County, AL"	"01033"	"White"	"2106-3"	47	763234	6.2
"Conecuh County, AL"	"01035"	"American Indian or Alaska Native"	"1002-5"	Suppressed	742	Suppressed
"Conecuh County, AL"	"01035"	"Asian or Pacific Islander"	"A-PI"	Suppressed	370	Suppressed
"Conecuh County, AL"	"01035"	"Black or African American"	"2054-5"	Suppressed	104543	Suppressed
"Conecuh County, AL"	"01035"	"White"	"2106-3"	16	122010	Unreliable
"Coosa County, AL"	"01037"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1013	Suppressed
"Coosa County, AL"	"01037"	"Asian or Pacific Islander"	"A-PI"	Suppressed	419	Suppressed
"Coosa County, AL"	"01037"	"Black or African American"	"2054-5"	Suppressed	63395	Suppressed
"Coosa County, AL"	"01037"	"White"	"2106-3"	13	129376	Unreliable
"Covington County, AL"	"01039"	"American Indian or Alaska Native"	"1002-5"	Suppressed	3729	Suppressed
"Covington County, AL"	"01039"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2376	Suppressed
"Covington County, AL"	"01039"	"Black or African American"	"2054-5"	Suppressed	81808	Suppressed
"Covington County, AL"	"01039"	"White"	"2106-3"	28	550079	5.1
"Crenshaw County, AL"	"01041"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1022	Suppressed
"Crenshaw County, AL"	"01041"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2630	Suppressed
"Crenshaw County, AL"	"01041"	"Black or African American"	"2054-5"	Suppressed	58263	Suppressed
"Crenshaw County, AL"	"01041"	"White"	"2106-3"	Suppressed	173379	Suppressed
"Cullman County, AL"	"01043"	"American Indian or Alaska Native"	"1002-5"	Suppressed	7905	Suppressed
"Cullman County, AL"	"01043"	"Asian or Pacific Islander"	"A-PI"	Suppressed	5753	Suppressed
"Cullman County, AL"	"01043"	"Black or African American"	"2054-5"	Suppressed	17877	Suppressed
"Cullman County, AL"	"01043"	"White"	"2106-3"	129	1317082	9.8
"Dale County, AL"	"01045"	"American Indian or Alaska Native"	"1002-5"	Suppressed	6665	Suppressed
"Dale County, AL"	"01045"	"Asian or Pacific Islander"	"A-PI"	Suppressed	13075	Suppressed
"Dale County, AL"	"01045"	"Black or African American"	"2054-5"	Suppressed	174845	Suppressed
"Dale County, AL"	"01045"	"White"	"2106-3"	60	647761	9.3
"Dallas County, AL"	"01047"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1416	Suppressed
"Dallas County, AL"	"01047"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3060	Suppressed
"Dallas County, AL"	"01047"	"Black or African American"	"2054-5"	10	507430	Unreliable
"Dallas County, AL"	"01047"	"White"	"2106-3"	22	238484	9.2
"DeKalb County, AL"	"01049"	"American Indian or Alaska Native"	"1002-5"	Suppressed	22853	Suppressed
"DeKalb County, AL"	"01049"	"Asian or Pacific Islander"	"A-PI"	Suppressed	10467	Suppressed
"DeKalb County, AL"	"01049"	"Black or African American"	"2054-5"	Suppressed	23930	Suppressed
"DeKalb County, AL"	"01049"	"White"	"2106-3"	134	1109727	12.1
"Elmore County, AL"	"01051"	"American Indian or Alaska Native"	"1002-5"	Suppressed	5652	Suppressed
"Elmore County, AL"	"01051"	"Asian or Pacific Islander"	"A-PI"	Suppressed	9602	Suppressed
"Elmore County, AL"	"01051"	"Black or African American"	"2054-5"	Suppressed	267836	Suppressed
"Elmore County, AL"	"01051"	"White"	"2106-3"	58	989642	5.9
"Escambia County, AL"	"01053"	"American Indian or Alaska Native"	"1002-5"	Suppressed	22650	Suppressed
"Escambia County, AL"	"01053"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2074	Suppressed
"Escambia County, AL"	"01053"	"Black or African American"	"2054-5"	15	205771	Unreliable
"Escambia County, AL"	"01053"	"White"	"2106-3"	107	415226	25.8
"Etowah County, AL"	"01055"	"American Indian or Alaska Native"	"1002-5"	Suppressed	8719	Suppressed
"Etowah County, AL"	"01055"	"Asian or Pacific Islander"	"A-PI"	Suppressed	15534	Suppressed
"Etowah County, AL"	"01055"	"Black or African American"	"2054-5"	Suppressed	270926	Suppressed
"Etowah County, AL"	"01055"	"White"	"2106-3"	199	1467035	13.6
"Fayette County, AL"	"01057"	"American Indian or Alaska Native"	"1002-5"	Suppressed	924	Suppressed
"Fayette County, AL"	"01057"	"Asian or Pacific Islander"	"A-PI"	Suppressed	677	Suppressed
"Fayette County, AL"	"01057"	"Black or African American"	"2054-5"	Suppressed	36158	Suppressed
"Fayette County, AL"	"01057"	"White"	"2106-3"	31	262213	11.8
"Franklin County, AL"	"01059"	"American Indian or Alaska Native"	"1002-5"	Suppressed	5654	Suppressed
"Franklin County, AL"	"01059"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2042	Suppressed
"Franklin County, AL"	"01059"	"Black or African American"	"2054-5"	Suppressed	23690	Suppressed
"Franklin County, AL"	"01059"	"White"	"2106-3"	67	501055	13.4
"Geneva County, AL"	"01061"	"American Indian or Alaska Native"	"1002-5"	Suppressed	3930	Suppressed
"Geneva County, AL"	"01061"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1412	Suppressed
"Geneva County, AL"	"01061"	"Black or African American"	"2054-5"	Suppressed	46357	Suppressed
"Geneva County, AL"	"01061"	"White"	"2106-3"	22	394867	5.6
"Greene County, AL"	"01063"	"American Indian or Alaska Native"	"1002-5"	Suppressed	280	Suppressed
"Greene County, AL"	"01063"	"Asian or Pacific Islander"	"A-PI"	Suppressed	225	Suppressed
"Greene County, AL"	"01063"	"Black or African American"	"2054-5"	Suppressed	128390	Suppressed
"Greene County, AL"	"01063"	"White"	"2106-3"	Suppressed	29913	Suppressed
"Hale County, AL"	"01065"	"American Indian or Alaska Native"	"1002-5"	Suppressed	510	Suppressed
"Hale County, AL"	"01065"	"Asian or Pacific Islander"	"A-PI"	Suppressed	599	Suppressed
"Hale County, AL"	"01065"	"Black or African American"	"2054-5"	Suppressed	164049	Suppressed
"Hale County, AL"	"01065"	"White"	"2106-3"	Suppressed	112113	Suppressed
"Henry County, AL"	"01067"	"American Indian or Alaska Native"	"1002-5"	Suppressed	850	Suppressed
"Henry County, AL"	"01067"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1009	Suppressed
"Henry County, AL"	"01067"	"Black or African American"	"2054-5"	Suppressed	87381	Suppressed
"Henry County, AL"	"01067"	"White"	"2106-3"	15	198152	Unreliable
"Houston County, AL"	"01069"	"American Indian or Alaska Native"	"1002-5"	Suppressed	8076	Suppressed
"Houston County, AL"	"01069"	"Asian or Pacific Islander"	"A-PI"	Suppressed	15162	Suppressed
"Houston County, AL"	"01069"	"Black or African American"	"2054-5"	Suppressed	430221	Suppressed
"Houston County, AL"	"01069"	"White"	"2106-3"	132	1193439	11.1
"Jackson County, AL"	"01071"	"American Indian or Alaska Native"	"1002-5"	Suppressed	18094	Suppressed
"Jackson County, AL"	"01071"	"Asian or Pacific Islander"	"A-PI"	Suppressed	4283	Suppressed
"Jackson County, AL"	"01071"	"Black or African American"	"2054-5"	Suppressed	35080	Suppressed
"Jackson County, AL"	"01071"	"White"	"2106-3"	68	849599	8.0
"Jefferson County, AL"	"01073"	"American Indian or Alaska Native"	"1002-5"	Suppressed	38145	Suppressed
"Jefferson County, AL"	"01073"	"Asian or Pacific Islander"	"A-PI"	Suppressed	157139	Suppressed
"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	204	4670229	4.4
"Jefferson County, AL"	"01073"	"White"	"2106-3"	1064	6329601	16.8
"Lamar County, AL"	"01075"	"American Indian or Alaska Native"	"1002-5"	Suppressed	388	Suppressed
"Lamar County, AL"	"01075"	"Asian or Pacific Islander"	"A-PI"	Suppressed	202	Suppressed
"Lamar County, AL"	"01075"	"Black or African American"	"2054-5"	Suppressed	30157	Suppressed
"Lamar County, AL"	"01075"	"White"	"2106-3"	19	222013	Unreliable
"Lauderdale County, AL"	"01077"	"American Indian or Alaska Native"	"1002-5"	Suppressed	5678	Suppressed
"Lauderdale County, AL"	"01077"	"Asian or Pacific Islander"	"A-PI"	Suppressed	11367	Suppressed
"Lauderdale County, AL"	"01077"	"Black or African American"	"2054-5"	Suppressed	158510	Suppressed
"Lauderdale County, AL"	"01077"	"White"	"2106-3"	111	1364262	8.1
"Lawrence County, AL"	"01079"	"American Indian or Alaska Native"	"1002-5"	Suppressed	37117	Suppressed
"Lawrence County, AL"	"01079"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1133	Suppressed
"Lawrence County, AL"	"01079"	"Black or African American"	"2054-5"	Suppressed	72625	Suppressed
"Lawrence County, AL"	"01079"	"White"	"2106-3"	58	470579	12.3
"Lee County, AL"	"01081"	"American Indian or Alaska Native"	"1002-5"	Suppressed	8601	Suppressed
"Lee County, AL"	"01081"	"Asian or Pacific Islander"	"A-PI"	Suppressed	59956	Suppressed
"Lee County, AL"	"01081"	"Black or African American"	"2054-5"	11	529460	Unreliable
"Lee County, AL"	"01081"	"White"	"2106-3"	105	1661086	6.3
"Limestone County, AL"	"01083"	"American Indian or Alaska Native"	"1002-5"	Suppressed	10516	Suppressed
"Limestone County, AL"	"01083"	"Asian or Pacific Islander"	"A-PI"	Suppressed	14743	Suppressed
"Limestone County, AL"	"01083"	"Black or African American"	"2054-5"	Suppressed	176424	Suppressed
"Limestone County, AL"	"01083"	"White"	"2106-3"	83	1109935	7.5
"Lowndes County, AL"	"01085"	"American Indian or Alaska Native"	"1002-5"	Suppressed	439	Suppressed
"Lowndes County, AL"	"01085"	"Asian or Pacific Islander"	"A-PI"	Suppressed	415	Suppressed
"Lowndes County, AL"	"01085"	"Black or African American"	"2054-5"	Suppressed	150243	Suppressed
"Lowndes County, AL"	"01085"	"White"	"2106-3"	Suppressed	52753	Suppressed
"Macon County, AL"	"01087"	"American Indian or Alaska Native"	"1002-5"	Suppressed	911	Suppressed
"Macon County, AL"	"01087"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1441	Suppressed
"Macon County, AL"	"01087"	"Black or African American"	"2054-5"	Suppressed	311958	Suppressed
"Macon County, AL"	"01087"	"White"	"2106-3"	Suppressed	57894	Suppressed
"Madison County, AL"	"01089"	"American Indian or Alaska Native"	"1002-5"	Suppressed	50163	Suppressed
"Madison County, AL"	"01089"	"Asian or Pacific Islander"	"A-PI"	Suppressed	140132	Suppressed
"Madison County, AL"	"01089"	"Black or African American"	"2054-5"	17	1313374	Unreliable
"Madison County, AL"	"01089"	"White"	"2106-3"	295	3851843	7.7
"Marengo County, AL"	"01091"	"American Indian or Alaska Native"	"1002-5"	Suppressed	609	Suppressed
"Marengo County, AL"	"01091"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1215	Suppressed
"Marengo County, AL"	"01091"	"Black or African American"	"2054-5"	Suppressed	188842	Suppressed
"Marengo County, AL"	"01091"	"White"	"2106-3"	Suppressed	172103	Suppressed
"Marion County, AL"	"01093"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1733	Suppressed
"Marion County, AL"	"01093"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1399	Suppressed
"Marion County, AL"	"01093"	"Black or African American"	"2054-5"	Suppressed	21437	Suppressed
"Marion County, AL"	"01093"	"White"	"2106-3"	23	496589	4.6
"Marshall County, AL"	"01095"	"American Indian or Alaska Native"	"1002-5"	Suppressed	15853	Suppressed
"Marshall County, AL"	"01095"	"Asian or Pacific Islander"	"A-PI"	Suppressed	11005	Suppressed
"Marshall County, AL"	"01095"	"Black or African American"	"2054-5"	Suppressed	33490	Suppressed
"Marshall County, AL"	"01095"	"White"	"2106-3"	149	1452945	10.3
"Mobile County, AL"	"01097"	"American Indian or Alaska Native"	"1002-5"	Suppressed	62496	Suppressed
"Mobile County, AL"	"01097"	"Asian or Pacific Islander"	"A-PI"	Suppressed	130591	Suppressed
"Mobile County, AL"	"01097"	"Black or African American"	"2054-5"	99	2407944	4.1
"Mobile County, AL"	"01097"	"White"	"2106-3"	660	4305719	15.3
"Monroe County, AL"	"01099"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4591	Suppressed
"Monroe County, AL"	"01099"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1467	Suppressed
"Monroe County, AL"	"01099"	"Black or African American"	"2054-5"	Suppressed	164235	Suppressed
"Monroe County, AL"	"01099"	"White"	"2106-3"	21	225854	9.3
"Montgomery County, AL"	"01101"	"American Indian or Alaska Native"	"1002-5"	Suppressed	12964	Suppressed
"Montgomery County, AL"	"01101"	"Asian or Pacific Islander"	"A-PI"	Suppressed	76247	Suppressed
"Montgomery County, AL"	"01101"	"Black or African American"	"2054-5"	46	2058586	2.2
"Montgomery County, AL"	"01101"	"White"	"2106-3"	132	1695942	7.8
"Morgan County, AL"	"01103"	"American Indian or Alaska Native"	"1002-5"	Suppressed	20669	Suppressed
"Morgan County, AL"	"01103"	"Asian or Pacific Islander"	"A-PI"	Suppressed	15095	Suppressed
"Morgan County, AL"	"01103"	"Black or African American"	"2054-5"	10	241263	Unreliable
"Morgan County, AL"	"01103"	"White"	"2106-3"	228	1695356	13.4
"Perry County, AL"	"01105"	"American Indian or Alaska Native"	"1002-5"	Suppressed	264	Suppressed
"Perry County, AL"	"01105"	"Asian or Pacific Islander"	"A-PI"	Suppressed	486	Suppressed
"Perry County, AL"	"01105"	"Black or African American"	"2054-5"	Suppressed	126804	Suppressed
"Perry County, AL"	"01105"	"White"	"2106-3"	Suppressed	56343	Suppressed
"Pickens County, AL"	"01107"	"American Indian or Alaska Native"	"1002-5"	Suppressed	517	Suppressed
"Pickens County, AL"	"01107"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1474	Suppressed
"Pickens County, AL"	"01107"	"Black or African American"	"2054-5"	Suppressed	145413	Suppressed
"Pickens County, AL"	"01107"	"White"	"2106-3"	17	196400	Unreliable
"Pike County, AL"	"01109"	"American Indian or Alaska Native"	"1002-5"	Suppressed	3823	Suppressed
"Pike County, AL"	"01109"	"Asian or Pacific Islander"	"A-PI"	Suppressed	8832	Suppressed
"Pike County, AL"	"01109"	"Black or African American"	"2054-5"	Suppressed	200794	Suppressed
"Pike County, AL"	"01109"	"White"	"2106-3"	22	323128	6.8
"Randolph County, AL"	"01111"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1273	Suppressed
"Randolph County, AL"	"01111"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1215	Suppressed
"Randolph County, AL"	"01111"	"Black or African American"	"2054-5"	Suppressed	81558	Suppressed
"Randolph County, AL"	"01111"	"White"	"2106-3"	27	300381	9.0
"Russell County, AL"	"01113"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4258	Suppressed
"Russell County, AL"	"01113"	"Asian or Pacific Islander"	"A-PI"	Suppressed	7808	Suppressed
"Russell County, AL"	"01113"	"Black or African American"	"2054-5"	Suppressed	383181	Suppressed
"Russell County, AL"	"01113"	"White"	"2106-3"	74	501217	14.8
"St. Clair County, AL"	"01115"	"American Indian or Alaska Native"	"1002-5"	Suppressed	5092	Suppressed
"St. Clair County, AL"	"01115"	"Asian or Pacific Islander"	"A-PI"	Suppressed	8485	Suppressed
"St. Clair County, AL"	"01115"	"Black or African American"	"2054-5"	Suppressed	115559	Suppressed
"St. Clair County, AL"	"01115"	"White"	"2106-3"	180	1177099	15.3
"Shelby County, AL"	"01117"	"American Indian or Alaska Native"	"1002-5"	Suppressed	11390	Suppressed
"Shelby County, AL"	"01117"	"Asian or Pacific Islander"	"A-PI"	Suppressed	57155	Suppressed
"Shelby County, AL"	"01117"	"Black or African American"	"2054-5"	10	312196	Unreliable
"Shelby County, AL"	"01117"	"White"	"2106-3"	354	2660624	13.3
"Sumter County, AL"	"01119"	"American Indian or Alaska Native"	"1002-5"	Suppressed	241	Suppressed
"Sumter County, AL"	"01119"	"Asian or Pacific Islander"	"A-PI"	Suppressed	678	Suppressed
"Sumter County, AL"	"01119"	"Black or African American"	"2054-5"	Suppressed	176495	Suppressed
"Sumter County, AL"	"01119"	"White"	"2106-3"	Suppressed	60073	Suppressed
"Talladega County, AL"	"01121"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4702	Suppressed
"Talladega County, AL"	"01121"	"Asian or Pacific Islander"	"A-PI"	Suppressed	5837	Suppressed
"Talladega County, AL"	"01121"	"Black or African American"	"2054-5"	12	446720	Unreliable
"Talladega County, AL"	"01121"	"White"	"2106-3"	90	927275	9.7
"Tallapoosa County, AL"	"01123"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2308	Suppressed
"Tallapoosa County, AL"	"01123"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3123	Suppressed
"Tallapoosa County, AL"	"01123"	"Black or African American"	"2054-5"	Suppressed	188978	Suppressed
"Tallapoosa County, AL"	"01123"	"White"	"2106-3"	37	507599	7.3
"Tuscaloosa County, AL"	"01125"	"American Indian or Alaska Native"	"1002-5"	Suppressed	9634	Suppressed
"Tuscaloosa County, AL"	"01125"	"Asian or Pacific Islander"	"A-PI"	Suppressed	41516	Suppressed
"Tuscaloosa County, AL"	"01125"	"Black or African American"	"2054-5"	31	941966	3.3
"Tuscaloosa County, AL"	"01125"	"White"	"2106-3"	304	2132781	14.3
"Walker County, AL"	"01127"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4609	Suppressed
"Walker County, AL"	"01127"	"Asian or Pacific Islander"	"A-PI"	Suppressed	4391	Suppressed
"Walker County, AL"	"01127"	"Black or African American"	"2054-5"	Suppressed	73186	Suppressed
"Walker County, AL"	"01127"	"White"	"2106-3"	284	1073453	26.5
"Washington County, AL"	"01129"	"American Indian or Alaska Native"	"1002-5"	Suppressed	23412	Suppressed
"Washington County, AL"	"01129"	"Asian or Pacific Islander"	"A-PI"	Suppressed	640	Suppressed
"Washington County, AL"	"01129"	"Black or African American"	"2054-5"	Suppressed	76788	Suppressed
"Washington County, AL"	"01129"	"White"	"2106-3"	Suppressed	197223	Suppressed
"Wilcox County, AL"	"01131"	"American Indian or Alaska Native"	"1002-5"	Suppressed	321	Suppressed
"Wilcox County, AL"	"01131"	"Asian or Pacific Islander"	"A-PI"	Suppressed	216	Suppressed
"Wilcox County, AL"	"01131"	"Black or African American"	"2054-5"	Suppressed	148778	Suppressed
"Wilcox County, AL"	"01131"	"White"	"2106-3"	Suppressed	56669	Suppressed
"Winston County, AL"	"01133"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2890	Suppressed
"Winston County, AL"	"01133"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1540	Suppressed
"Winston County, AL"	"01133"	"Black or African American"	"2054-5"	Suppressed	3124	Suppressed
"Winston County, AL"	"01133"	"White"	"2106-3"	27	409117	6.6
"Aleutians East Borough, AK"	"02013"	"American Indian or Alaska Native"	"1002-5"	Suppressed	15211	Suppressed
"Aleutians East Borough, AK"	"02013"	"Asian or Pacific Islander"	"A-PI"	Suppressed	17879	Suppressed
"Aleutians East Borough, AK"	"02013"	"Black or African American"	"2054-5"	Suppressed	3126	Suppressed
"Aleutians East Borough, AK"	"02013"	"White"	"2106-3"	Suppressed	13938	Suppressed
"Aleutians West Census Area, AK"	"02016"	"American Indian or Alaska Native"	"1002-5"	Suppressed	17054	Suppressed
"Aleutians West Census Area, AK"	"02016"	"Asian or Pacific Islander"	"A-PI"	Suppressed	30019	Suppressed
"Aleutians West Census Area, AK"	"02016"	"Black or African American"	"2054-5"	Suppressed	5449	Suppressed
"Aleutians West Census Area, AK"	"02016"	"White"	"2106-3"	Suppressed	42361	Suppressed
"Anchorage Borough, AK"	"02020"	"American Indian or Alaska Native"	"1002-5"	141	445595	31.6
"Anchorage Borough, AK"	"02020"	"Asian or Pacific Islander"	"A-PI"	13	484915	Unreliable
"Anchorage Borough, AK"	"02020"	"Black or African American"	"2054-5"	38	355739	10.7
"Anchorage Borough, AK"	"02020"	"White"	"2106-3"	538	3502200	15.4
"Bethel Census Area, AK"	"02050"	"American Indian or Alaska Native"	"1002-5"	Suppressed	243841	Suppressed
"Bethel Census Area, AK"	"02050"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3424	Suppressed
"Bethel Census Area, AK"	"02050"	"Black or African American"	"2054-5"	Suppressed	2073	Suppressed
"Bethel Census Area, AK"	"02050"	"White"	"2106-3"	Suppressed	37789	Suppressed
"Bristol Bay Borough, AK"	"02060"	"American Indian or Alaska Native"	"1002-5"	Suppressed	8264	Suppressed
"Bristol Bay Borough, AK"	"02060"	"Asian or Pacific Islander"	"A-PI"	Suppressed	231	Suppressed
"Bristol Bay Borough, AK"	"02060"	"Black or African American"	"2054-5"	Suppressed	193	Suppressed
"Bristol Bay Borough, AK"	"02060"	"White"	"2106-3"	Suppressed	9730	Suppressed
"Denali Borough, AK"	"02068"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1098	Suppressed
"Denali Borough, AK"	"02068"	"Asian or Pacific Islander"	"A-PI"	Suppressed	408	Suppressed
"Denali Borough, AK"	"02068"	"Black or African American"	"2054-5"	Suppressed	318	Suppressed
"Denali Borough, AK"	"02068"	"White"	"2106-3"	Suppressed	22235	Suppressed
"Dillingham Census Area, AK"	"02070"	"American Indian or Alaska Native"	"1002-5"	Suppressed	63264	Suppressed
"Dillingham Census Area, AK"	"02070"	"Asian or Pacific Islander"	"A-PI"	Suppressed	730	Suppressed
"Dillingham Census Area, AK"	"02070"	"Black or African American"	"2054-5"	Suppressed	524	Suppressed
