"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
"Jan., 1999"	"1999/01"	"Not Stated"	"NS"	"Male"	"M"	1	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"< 1 year"	"1"	"Female"	"F"	0	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"1-4 years"	"1-4"	"Male"	"M"	1	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"5-9 years"	"5-9"	"Male"	"M"	1	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"10-14 years"	"10-14"	"Female"	"F"	1	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"10-14 years"	"10-14"	"Male"	"M"	1	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"15-19 years"	"15-19"	"Female"	"F"	12	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"15-19 years"	"15-19"	"Male"	"M"	14	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"20-24 years"	"20-24"	"Female"	"F"	18	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"20-24 years"	"20-24"	"Male"	"M"	55	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"25-29 years"	"25-29"	"Female"	"F"	31	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"25-29 years"	"25-29"	"Male"	"M"	81	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"30-34 years"	"30-34"	"Female"	"F"	37	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"30-34 years"	"30-34"	"Male"	"M"	104	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"35-39 years"	"35-39"	"Female"	"F"	83	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"35-39 years"	"35-39"	"Male"	"M"	173	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"40-44 years"	"40-44"	"Female"	"F"	91	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"40-44 years"	"40-44"	"Male"	"M"	187	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"45-49 years"	"45-49"	"Female"	"F"	58	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"45-49 years"	"45-49"	"Male"	"M"	137	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"50-54 years"	"50-54"	"Female"	"F"	37	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"50-54 years"	"50-54"	"Male"	"M"	77	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"55-59 years"	"55-59"	"Female"	"F"	20	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"55-59 years"	"55-59"	"Male"	"M"	21	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"60-64 years "	"60-64"	"Female"	"F"	7	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"60-64 years "	"60-64"	"Male"	"M"	15	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"65-69 years"	"65-69"	"Female"	"F"	11	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"65-69 years"	"65-69"	"Male"	"M"	12	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"70-74 years"	"70-74"	"Female"	"F"	8	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"70-74 years"	"70-74"	"Male"	"M"	9	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"75-79 years"	"75-79"	"Female"	"F"	12	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"75-79 years"	"75-79"	"Male"	"M"	6	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"80-84 years"	"80-84"	"Female"	"F"	4	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"80-84 years"	"80-84"	"Male"	"M"	4	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"85-89 years"	"85-89"	"Female"	"F"	3	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"85-89 years"	"85-89"	"Male"	"M"	3	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"90-94 years"	"90-94"	"Female"	"F"	0	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"90-94 years"	"90-94"	"Male"	"M"	0	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"95-99 years"	"95-99"	"Female"	"F"	0	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"95-99 years"	"95-99"	"Male"	"M"	1	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
"Feb., 1999"	"1999/02"	"Not Stated"	"NS"	"Male"	"M"	0	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"< 1 year"	"1"	"Female"	"F"	1	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"1-4 years"	"1-4"	"Male"	"M"	0	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"10-14 years"	"10-14"	"Female"	"F"	1	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"10-14 years"	"10-14"	"Male"	"M"	1	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"15-19 years"	"15-19"	"Female"	"F"	8	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"15-19 years"	"15-19"	"Male"	"M"	18	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"20-24 years"	"20-24"	"Female"	"F"	17	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"20-24 years"	"20-24"	"Male"	"M"	54	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"25-29 years"	"25-29"	"Female"	"F"	33	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"25-29 years"	"25-29"	"Male"	"M"	83	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"30-34 years"	"30-34"	"Female"	"F"	48	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"30-34 years"	"30-34"	"Male"	"M"	109	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"35-39 years"	"35-39"	"Female"	"F"	75	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"35-39 years"	"35-39"	"Male"	"M"	131	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"40-44 years"	"40-44"	"Female"	"F"	90	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"40-44 years"	"40-44"	"Male"	"M"	179	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"45-49 years"	"45-49"	"Female"	"F"	71	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"45-49 years"	"45-49"	"Male"	"M"	134	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"50-54 years"	"50-54"	"Female"	"F"	41	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"50-54 years"	"50-54"	"Male"	"M"	73	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"55-59 years"	"55-59"	"Female"	"F"	29	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"55-59 years"	"55-59"	"Male"	"M"	31	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"60-64 years "	"60-64"	"Female"	"F"	6	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"60-64 years "	"60-64"	"Male"	"M"	13	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"65-69 years"	"65-69"	"Female"	"F"	7	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"65-69 years"	"65-69"	"Male"	"M"	4	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"70-74 years"	"70-74"	"Female"	"F"	10	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"70-74 years"	"70-74"	"Male"	"M"	11	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"75-79 years"	"75-79"	"Female"	"F"	11	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"75-79 years"	"75-79"	"Male"	"M"	4	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"80-84 years"	"80-84"	"Female"	"F"	13	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"80-84 years"	"80-84"	"Male"	"M"	5	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"85-89 years"	"85-89"	"Female"	"F"	10	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"85-89 years"	"85-89"	"Male"	"M"	0	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"90-94 years"	"90-94"	"Female"	"F"	4	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"90-94 years"	"90-94"	"Male"	"M"	2	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"95-99 years"	"95-99"	"Female"	"F"	1	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"Not Stated"	"NS"	"Female"	"F"	1	Not Applicable	Not Applicable
"Mar., 1999"	"1999/03"	"Not Stated"	"NS"	"Male"	"M"	2	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"< 1 year"	"1"	"Female"	"F"	1	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"1-4 years"	"1-4"	"Female"	"F"	2	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"1-4 years"	"1-4"	"Male"	"M"	0	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"10-14 years"	"10-14"	"Female"	"F"	0	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"10-14 years"	"10-14"	"Male"	"M"	1	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"15-19 years"	"15-19"	"Female"	"F"	6	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"15-19 years"	"15-19"	"Male"	"M"	19	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"20-24 years"	"20-24"	"Female"	"F"	31	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"20-24 years"	"20-24"	"Male"	"M"	66	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"25-29 years"	"25-29"	"Female"	"F"	30	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"25-29 years"	"25-29"	"Male"	"M"	93	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"30-34 years"	"30-34"	"Female"	"F"	36	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"30-34 years"	"30-34"	"Male"	"M"	118	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"35-39 years"	"35-39"	"Female"	"F"	74	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"35-39 years"	"35-39"	"Male"	"M"	181	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"40-44 years"	"40-44"	"Female"	"F"	85	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"40-44 years"	"40-44"	"Male"	"M"	193	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"45-49 years"	"45-49"	"Female"	"F"	64	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"45-49 years"	"45-49"	"Male"	"M"	164	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"50-54 years"	"50-54"	"Female"	"F"	42	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"50-54 years"	"50-54"	"Male"	"M"	68	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"55-59 years"	"55-59"	"Female"	"F"	21	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"55-59 years"	"55-59"	"Male"	"M"	27	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"60-64 years "	"60-64"	"Female"	"F"	14	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"60-64 years "	"60-64"	"Male"	"M"	20	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"65-69 years"	"65-69"	"Female"	"F"	14	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"65-69 years"	"65-69"	"Male"	"M"	9	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"70-74 years"	"70-74"	"Female"	"F"	7	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"70-74 years"	"70-74"	"Male"	"M"	7	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"75-79 years"	"75-79"	"Female"	"F"	5	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"75-79 years"	"75-79"	"Male"	"M"	5	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"80-84 years"	"80-84"	"Female"	"F"	8	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"80-84 years"	"80-84"	"Male"	"M"	6	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"85-89 years"	"85-89"	"Female"	"F"	8	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"85-89 years"	"85-89"	"Male"	"M"	4	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"90-94 years"	"90-94"	"Female"	"F"	3	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"90-94 years"	"90-94"	"Male"	"M"	5	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"95-99 years"	"95-99"	"Female"	"F"	0	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
"Apr., 1999"	"1999/04"	"Not Stated"	"NS"	"Male"	"M"	0	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"< 1 year"	"1"	"Female"	"F"	0	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"< 1 year"	"1"	"Male"	"M"	0	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"1-4 years"	"1-4"	"Female"	"F"	2	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"1-4 years"	"1-4"	"Male"	"M"	0	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"10-14 years"	"10-14"	"Female"	"F"	2	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"10-14 years"	"10-14"	"Male"	"M"	0	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"15-19 years"	"15-19"	"Female"	"F"	12	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"15-19 years"	"15-19"	"Male"	"M"	17	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"20-24 years"	"20-24"	"Female"	"F"	18	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"20-24 years"	"20-24"	"Male"	"M"	54	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"25-29 years"	"25-29"	"Female"	"F"	25	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"25-29 years"	"25-29"	"Male"	"M"	84	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"30-34 years"	"30-34"	"Female"	"F"	60	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"30-34 years"	"30-34"	"Male"	"M"	115	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"35-39 years"	"35-39"	"Female"	"F"	68	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"35-39 years"	"35-39"	"Male"	"M"	156	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"40-44 years"	"40-44"	"Female"	"F"	85	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"40-44 years"	"40-44"	"Male"	"M"	192	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"45-49 years"	"45-49"	"Female"	"F"	73	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"45-49 years"	"45-49"	"Male"	"M"	151	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"50-54 years"	"50-54"	"Female"	"F"	42	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"50-54 years"	"50-54"	"Male"	"M"	75	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"55-59 years"	"55-59"	"Female"	"F"	19	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"55-59 years"	"55-59"	"Male"	"M"	25	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"60-64 years "	"60-64"	"Female"	"F"	12	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"60-64 years "	"60-64"	"Male"	"M"	16	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"65-69 years"	"65-69"	"Female"	"F"	5	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"65-69 years"	"65-69"	"Male"	"M"	12	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"70-74 years"	"70-74"	"Female"	"F"	9	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"70-74 years"	"70-74"	"Male"	"M"	11	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"75-79 years"	"75-79"	"Female"	"F"	7	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"75-79 years"	"75-79"	"Male"	"M"	4	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"80-84 years"	"80-84"	"Female"	"F"	3	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"80-84 years"	"80-84"	"Male"	"M"	7	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"85-89 years"	"85-89"	"Female"	"F"	4	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"85-89 years"	"85-89"	"Male"	"M"	4	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"90-94 years"	"90-94"	"Female"	"F"	2	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"90-94 years"	"90-94"	"Male"	"M"	0	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"95-99 years"	"95-99"	"Female"	"F"	1	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
"May, 1999"	"1999/05"	"Not Stated"	"NS"	"Male"	"M"	0	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"< 1 year"	"1"	"Female"	"F"	2	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"1-4 years"	"1-4"	"Male"	"M"	1	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"10-14 years"	"10-14"	"Female"	"F"	0	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"10-14 years"	"10-14"	"Male"	"M"	2	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"15-19 years"	"15-19"	"Female"	"F"	10	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"15-19 years"	"15-19"	"Male"	"M"	17	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"20-24 years"	"20-24"	"Female"	"F"	19	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"20-24 years"	"20-24"	"Male"	"M"	45	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"25-29 years"	"25-29"	"Female"	"F"	29	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"25-29 years"	"25-29"	"Male"	"M"	82	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"30-34 years"	"30-34"	"Female"	"F"	47	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"30-34 years"	"30-34"	"Male"	"M"	110	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"35-39 years"	"35-39"	"Female"	"F"	66	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"35-39 years"	"35-39"	"Male"	"M"	176	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"40-44 years"	"40-44"	"Female"	"F"	66	Not Applicable	Not Applicable
"Jun., 1999"	"1999/06"	"40-44 years"	"40-44"	"Male"	"M"	184	Not Applicable	Not Applicable
