"HHS Region"	"HHS Region Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2005"	"2005"	3126	28852252	10.8
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2006"	"2006"	3520	29069762	12.1
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2007"	"2007"	3712	29248550	12.7
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2008"	"2008"	3827	29435166	13.0
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2009"	"2009"	3680	29654916	12.4
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2010"	"2010"	3811	29829606	12.8
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2011"	"2011"	4630	30048274	15.4
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2012"	"2012"	4661	30238794	15.4
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2013"	"2013"	4970	30389522	16.4
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2014"	"2014"	5653	30534738	18.5
"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"2015"	"2015"	6591	30654187	21.5
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"1999"	"1999"	2515	52644737	4.8
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2000"	"2000"	3119	53252966	5.9
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2001"	"2001"	4080	54148670	7.5
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2002"	"2002"	4572	54856185	8.3
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2003"	"2003"	5223	55536461	9.4
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2004"	"2004"	5826	56425292	10.3
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2005"	"2005"	6458	57393064	11.3
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2006"	"2006"	7354	58439884	12.6
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2007"	"2007"	7739	59313566	13.0
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2008"	"2008"	8148	60073894	13.6
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2009"	"2009"	8475	60652733	14.0
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2010"	"2010"	8756	61082315	14.3
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2011"	"2011"	8772	61762344	14.2
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2012"	"2012"	8538	62356916	13.7
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2013"	"2013"	8487	62884128	13.5
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2014"	"2014"	9220	63573351	14.5
"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	"2015"	"2015"	10603	64301783	16.5
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"1999"	"1999"	2224	49842706	4.5
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2000"	"2000"	2528	50074516	5.0
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2001"	"2001"	2892	50384360	5.7
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2002"	"2002"	3399	50569219	6.7
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2003"	"2003"	3365	50761359	6.6
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2004"	"2004"	4173	50932085	8.2
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2005"	"2005"	4618	51068740	9.0
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2006"	"2006"	5613	51235128	11.0
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2007"	"2007"	5661	51395195	11.0
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2008"	"2008"	6039	51522138	11.7
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2009"	"2009"	5919	51637057	11.5
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2010"	"2010"	6409	51725489	12.4
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2011"	"2011"	6942	51863945	13.4
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2012"	"2012"	7188	51945711	13.8
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2013"	"2013"	7856	52082560	15.1
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2014"	"2014"	8690	52196212	16.6
"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	"2015"	"2015"	9776	52276605	18.7
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"1999"	"1999"	1790	32916120	5.4
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2000"	"2000"	1861	33263896	5.6
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2001"	"2001"	2248	33787858	6.7
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2002"	"2002"	2598	34237908	7.6
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2003"	"2003"	3169	34659255	9.1
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2004"	"2004"	3321	35124988	9.5
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2005"	"2005"	3627	35616719	10.2
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2006"	"2006"	4102	36040233	11.4
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2007"	"2007"	4364	36680633	11.9
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2008"	"2008"	4069	37298817	10.9
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2009"	"2009"	4487	37944626	11.8
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2010"	"2010"	4473	38405381	11.6
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2011"	"2011"	4719	39061228	12.1
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2012"	"2012"	4584	39510585	11.6
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2013"	"2013"	4772	39968891	11.9
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2014"	"2014"	5014	40536626	12.4
"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	"2015"	"2015"	5014	41114489	12.2
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"1999"	"1999"	440	12862684	3.4
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2000"	"2000"	498	12921216	3.9
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2001"	"2001"	621	12995137	4.8
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2002"	"2002"	728	13050886	5.6
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2003"	"2003"	835	13113049	6.4
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2004"	"2004"	929	13185119	7.0
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2005"	"2005"	1048	13261550	7.9
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2006"	"2006"	1255	13360972	9.4
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2007"	"2007"	1242	13454049	9.2
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2008"	"2008"	1255	13545104	9.3
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2009"	"2009"	1453	13639345	10.7
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2010"	"2010"	1617	13714741	11.8
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2011"	"2011"	1599	13786876	11.6
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2012"	"2012"	1645	13837604	11.9
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2013"	"2013"	1730	13897060	12.4
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2014"	"2014"	1757	13956239	12.6
"HHS Region #7  IA, KS, MO, NE"	"HHS7"	"2015"	"2015"	1806	14015402	12.9
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"1999"	"1999"	629	9213458	6.8
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2000"	"2000"	642	9327451	6.9
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2001"	"2001"	715	9508054	7.5
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2002"	"2002"	874	9625093	9.1
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2003"	"2003"	993	9714498	10.2
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2004"	"2004"	1052	9830809	10.7
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2005"	"2005"	1188	9965448	11.9
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2006"	"2006"	1251	10153744	12.3
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2007"	"2007"	1462	10345641	14.1
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2008"	"2008"	1495	10531910	14.2
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2009"	"2009"	1506	10711484	14.1
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2010"	"2010"	1343	10832893	12.4
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2011"	"2011"	1631	11008389	14.8
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2012"	"2012"	1676	11157404	15.0
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2013"	"2013"	1731	11335332	15.3
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2014"	"2014"	1826	11499157	15.9
"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	"2015"	"2015"	1859	11686945	15.9
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"1999"	"1999"	3413	41668045	8.2
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2000"	"2000"	2739	42212074	6.5
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2001"	"2001"	2072	43077282	4.8
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2002"	"2002"	3920	43681502	9.0
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2003"	"2003"	4141	44263527	9.4
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2004"	"2004"	4278	44846771	9.5
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2005"	"2005"	4506	45391892	9.9
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2006"	"2006"	4849	45882732	10.6
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2007"	"2007"	5346	46334739	11.5
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2008"	"2008"	5259	46870542	11.2
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2009"	"2009"	5676	47335765	12.0
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2010"	"2010"	5813	47706825	12.2
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2011"	"2011"	6011	48272549	12.5
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2012"	"2012"	5872	48745929	12.0
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2013"	"2013"	6384	49153335	13.0
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2014"	"2014"	6375	49792644	12.8
"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	"2015"	"2015"	6664	50295331	13.2
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"1999"	"1999"	856	11136958	7.7
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2000"	"2000"	853	11236405	7.6
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2001"	"2001"	873	11407335	7.7
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2002"	"2002"	1137	11548482	9.8
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2003"	"2003"	1219	11663285	10.5
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2004"	"2004"	1331	11799196	11.3
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2005"	"2005"	1399	11965694	11.7
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2006"	"2006"	1565	12185607	12.8
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2007"	"2007"	1627	12369409	13.2
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2008"	"2008"	1709	12552754	13.6
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2009"	"2009"	1775	12729360	13.9
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2010"	"2010"	1658	12833427	12.9
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2011"	"2011"	1811	13009600	13.9
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2012"	"2012"	1766	13123542	13.5
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2013"	"2013"	1707	13248739	12.9
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2014"	"2014"	1823	13402965	13.6
"HHS Region #10  AK, ID, OR, WA"	"HHS10"	"2015"	"2015"	1923	13592690	14.1
