"Census Region"	"Census Region Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
"Census Region 2: Midwest"	"CENS-R2"	"2011"	"2011"	8611	67158835	12.8
"Census Region 2: Midwest"	"CENS-R2"	"2012"	"2012"	8895	67316297	13.2
"Census Region 2: Midwest"	"CENS-R2"	"2013"	"2013"	9661	67547890	14.3
"Census Region 2: Midwest"	"CENS-R2"	"2014"	"2014"	10550	67745108	15.6
"Census Region 2: Midwest"	"CENS-R2"	"2015"	"2015"	11705	67907403	17.2
"Census Region 3: South"	"CENS-R3"	"1999"	"1999"	5191	99164460	5.2
"Census Region 3: South"	"CENS-R3"	"2000"	"2000"	5965	100236820	6.0
"Census Region 3: South"	"CENS-R3"	"2001"	"2001"	7514	101849575	7.4
"Census Region 3: South"	"CENS-R3"	"2002"	"2002"	8461	103150787	8.2
"Census Region 3: South"	"CENS-R3"	"2003"	"2003"	9781	104380188	9.4
"Census Region 3: South"	"CENS-R3"	"2004"	"2004"	10532	105883977	9.9
"Census Region 3: South"	"CENS-R3"	"2005"	"2005"	11242	107479771	10.5
"Census Region 3: South"	"CENS-R3"	"2006"	"2006"	12947	109076933	11.9
"Census Region 3: South"	"CENS-R3"	"2007"	"2007"	13646	110688742	12.3
"Census Region 3: South"	"CENS-R3"	"2008"	"2008"	13704	112184930	12.2
"Census Region 3: South"	"CENS-R3"	"2009"	"2009"	14321	113548615	12.6
"Census Region 3: South"	"CENS-R3"	"2010"	"2010"	14672	114555744	12.8
"Census Region 3: South"	"CENS-R3"	"2011"	"2011"	15324	116046736	13.2
"Census Region 3: South"	"CENS-R3"	"2012"	"2012"	14951	117257221	12.8
"Census Region 3: South"	"CENS-R3"	"2013"	"2013"	15366	118383453	13.0
"Census Region 3: South"	"CENS-R3"	"2014"	"2014"	16638	119771934	13.9
"Census Region 3: South"	"CENS-R3"	"2015"	"2015"	18468	121182847	15.2
"Census Region 4: West"	"CENS-R4"	"1999"	"1999"	5128	62431872	8.2
"Census Region 4: West"	"CENS-R4"	"2000"	"2000"	4465	63197932	7.1
"Census Region 4: West"	"CENS-R4"	"2001"	"2001"	3878	64427327	6.0
"Census Region 4: West"	"CENS-R4"	"2002"	"2002"	6175	65312198	9.5
"Census Region 4: West"	"CENS-R4"	"2003"	"2003"	6662	66116338	10.1
"Census Region 4: West"	"CENS-R4"	"2004"	"2004"	6911	66965483	10.3
"Census Region 4: West"	"CENS-R4"	"2005"	"2005"	7412	67833726	10.9
"Census Region 4: West"	"CENS-R4"	"2006"	"2006"	8032	68751765	11.7
"Census Region 4: West"	"CENS-R4"	"2007"	"2007"	8830	69595414	12.7
"Census Region 4: West"	"CENS-R4"	"2008"	"2008"	8880	70509175	12.6
"Census Region 4: West"	"CENS-R4"	"2009"	"2009"	9313	71341376	13.1
"Census Region 4: West"	"CENS-R4"	"2010"	"2010"	9217	71945553	12.8
"Census Region 4: West"	"CENS-R4"	"2011"	"2011"	9908	72864748	13.6
"Census Region 4: West"	"CENS-R4"	"2012"	"2012"	9738	73579431	13.2
"Census Region 4: West"	"CENS-R4"	"2013"	"2013"	10201	74254423	13.7
"Census Region 4: West"	"CENS-R4"	"2014"	"2014"	10460	75187681	13.9
"Census Region 4: West"	"CENS-R4"	"2015"	"2015"	10819	76044679	14.2
