"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
"New York"	"36"	"Male"	"M"	17697	158597360	11.2
"North Carolina"	"37"	"Female"	"F"	6722	78751767	8.5
"North Carolina"	"37"	"Male"	"M"	10042	75037395	13.4
"North Dakota"	"38"	"Female"	"F"	162	5643202	2.9
"North Dakota"	"38"	"Male"	"M"	240	5750832	4.2
"Ohio"	"39"	"Female"	"F"	9619	100050249	9.6
"Ohio"	"39"	"Male"	"M"	16403	95214039	17.2
"Oklahoma"	"40"	"Female"	"F"	3977	31388737	12.7
"Oklahoma"	"40"	"Male"	"M"	5208	30646589	17.0
"Oregon"	"41"	"Female"	"F"	2854	31814480	9.0
"Oregon"	"41"	"Male"	"M"	4064	31214477	13.0
"Pennsylvania"	"42"	"Female"	"F"	10269	109618777	9.4
"Pennsylvania"	"42"	"Male"	"M"	20276	103717656	19.5
"Rhode Island"	"44"	"Female"	"F"	900	9298919	9.7
"Rhode Island"	"44"	"Male"	"M"	1811	8672979	20.9
"South Carolina"	"45"	"Female"	"F"	3514	38655223	9.1
"South Carolina"	"45"	"Male"	"M"	4550	36588238	12.4
"South Dakota"	"46"	"Female"	"F"	319	6778082	4.7
"South Dakota"	"46"	"Male"	"M"	350	6763768	5.2
"Tennessee"	"47"	"Female"	"F"	6285	53464137	11.8
"Tennessee"	"47"	"Male"	"M"	8502	50829490	16.7
"Texas"	"48"	"Female"	"F"	13008	204305726	6.4
"Texas"	"48"	"Male"	"M"	20881	201373411	10.4
"Utah"	"49"	"Female"	"F"	2974	21932072	13.6
"Utah"	"49"	"Male"	"M"	4279	22118335	19.3
"Vermont"	"50"	"Female"	"F"	390	5360032	7.3
"Vermont"	"50"	"Male"	"M"	676	5192894	13.0
"Virginia"	"51"	"Female"	"F"	4165	66921737	6.2
"Virginia"	"51"	"Male"	"M"	6766	64499184	10.5
"Washington"	"53"	"Female"	"F"	5709	55194406	10.3
"Washington"	"53"	"Male"	"M"	8490	54837289	15.5
"West Virginia"	"54"	"Female"	"F"	2374	15852558	15.0
"West Virginia"	"54"	"Male"	"M"	4048	15286283	26.5
"Wisconsin"	"55"	"Female"	"F"	3662	47902506	7.6
"Wisconsin"	"55"	"Male"	"M"	5659	47080682	12.0
"Wyoming"	"56"	"Female"	"F"	467	4494981	10.4
"Wyoming"	"56"	"Male"	"M"	536	4636522	11.6
