"County"	"County Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
"Cherokee County, AL"	"01019"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Cherokee County, AL"	"01019"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Cherokee County, AL"	"01019"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Chilton County, AL"	"01021"	"Medical Facility - Inpatient"	"1"	11	Not Applicable	Not Applicable
"Chilton County, AL"	"01021"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
"Chilton County, AL"	"01021"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Chilton County, AL"	"01021"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Chilton County, AL"	"01021"	"Decedent's home"	"4"	51	Not Applicable	Not Applicable
"Chilton County, AL"	"01021"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Chilton County, AL"	"01021"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Chilton County, AL"	"01021"	"Other"	"7"	21	Not Applicable	Not Applicable
"Chilton County, AL"	"01021"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Choctaw County, AL"	"01023"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Choctaw County, AL"	"01023"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Choctaw County, AL"	"01023"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Choctaw County, AL"	"01023"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Choctaw County, AL"	"01023"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Choctaw County, AL"	"01023"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Choctaw County, AL"	"01023"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Choctaw County, AL"	"01023"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Choctaw County, AL"	"01023"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Clarke County, AL"	"01025"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Clarke County, AL"	"01025"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Clarke County, AL"	"01025"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Clarke County, AL"	"01025"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Clarke County, AL"	"01025"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
"Clarke County, AL"	"01025"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Clarke County, AL"	"01025"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Clarke County, AL"	"01025"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Clarke County, AL"	"01025"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Clay County, AL"	"01027"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Clay County, AL"	"01027"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Clay County, AL"	"01027"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Clay County, AL"	"01027"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Clay County, AL"	"01027"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Clay County, AL"	"01027"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Clay County, AL"	"01027"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Clay County, AL"	"01027"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Clay County, AL"	"01027"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Cleburne County, AL"	"01029"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Cleburne County, AL"	"01029"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Cleburne County, AL"	"01029"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Cleburne County, AL"	"01029"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Cleburne County, AL"	"01029"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
"Cleburne County, AL"	"01029"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Cleburne County, AL"	"01029"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Cleburne County, AL"	"01029"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Cleburne County, AL"	"01029"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Coffee County, AL"	"01031"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Coffee County, AL"	"01031"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Coffee County, AL"	"01031"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Coffee County, AL"	"01031"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Coffee County, AL"	"01031"	"Decedent's home"	"4"	20	Not Applicable	Not Applicable
"Coffee County, AL"	"01031"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Coffee County, AL"	"01031"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Coffee County, AL"	"01031"	"Other"	"7"	11	Not Applicable	Not Applicable
"Coffee County, AL"	"01031"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Colbert County, AL"	"01033"	"Medical Facility - Inpatient"	"1"	14	Not Applicable	Not Applicable
"Colbert County, AL"	"01033"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Colbert County, AL"	"01033"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Colbert County, AL"	"01033"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Colbert County, AL"	"01033"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
"Colbert County, AL"	"01033"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Colbert County, AL"	"01033"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Colbert County, AL"	"01033"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Colbert County, AL"	"01033"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Conecuh County, AL"	"01035"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Conecuh County, AL"	"01035"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Conecuh County, AL"	"01035"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Conecuh County, AL"	"01035"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Conecuh County, AL"	"01035"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
"Conecuh County, AL"	"01035"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Conecuh County, AL"	"01035"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Conecuh County, AL"	"01035"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Conecuh County, AL"	"01035"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Coosa County, AL"	"01037"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Coosa County, AL"	"01037"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Coosa County, AL"	"01037"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Coosa County, AL"	"01037"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Coosa County, AL"	"01037"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Coosa County, AL"	"01037"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Coosa County, AL"	"01037"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Coosa County, AL"	"01037"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Coosa County, AL"	"01037"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Covington County, AL"	"01039"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Covington County, AL"	"01039"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Covington County, AL"	"01039"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Covington County, AL"	"01039"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Covington County, AL"	"01039"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
"Covington County, AL"	"01039"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Covington County, AL"	"01039"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Covington County, AL"	"01039"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Covington County, AL"	"01039"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Crenshaw County, AL"	"01041"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Crenshaw County, AL"	"01041"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Crenshaw County, AL"	"01041"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Crenshaw County, AL"	"01041"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Crenshaw County, AL"	"01041"	"Decedent's home"	"4"	Suppressed	Not Applicable	Not Applicable
"Crenshaw County, AL"	"01041"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Crenshaw County, AL"	"01041"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Crenshaw County, AL"	"01041"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Crenshaw County, AL"	"01041"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Cullman County, AL"	"01043"	"Medical Facility - Inpatient"	"1"	20	Not Applicable	Not Applicable
"Cullman County, AL"	"01043"	"Medical Facility - Outpatient or ER"	"2"	16	Not Applicable	Not Applicable
"Cullman County, AL"	"01043"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Cullman County, AL"	"01043"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Cullman County, AL"	"01043"	"Decedent's home"	"4"	80	Not Applicable	Not Applicable
"Cullman County, AL"	"01043"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Cullman County, AL"	"01043"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Cullman County, AL"	"01043"	"Other"	"7"	14	Not Applicable	Not Applicable
"Cullman County, AL"	"01043"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Dale County, AL"	"01045"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Dale County, AL"	"01045"	"Medical Facility - Outpatient or ER"	"2"	13	Not Applicable	Not Applicable
"Dale County, AL"	"01045"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Dale County, AL"	"01045"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Dale County, AL"	"01045"	"Decedent's home"	"4"	34	Not Applicable	Not Applicable
"Dale County, AL"	"01045"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Dale County, AL"	"01045"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Dale County, AL"	"01045"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Dale County, AL"	"01045"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Dallas County, AL"	"01047"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Dallas County, AL"	"01047"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Dallas County, AL"	"01047"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Dallas County, AL"	"01047"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Dallas County, AL"	"01047"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
"Dallas County, AL"	"01047"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Dallas County, AL"	"01047"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Dallas County, AL"	"01047"	"Other"	"7"	10	Not Applicable	Not Applicable
"Dallas County, AL"	"01047"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"DeKalb County, AL"	"01049"	"Medical Facility - Inpatient"	"1"	10	Not Applicable	Not Applicable
"DeKalb County, AL"	"01049"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"DeKalb County, AL"	"01049"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"DeKalb County, AL"	"01049"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"DeKalb County, AL"	"01049"	"Decedent's home"	"4"	92	Not Applicable	Not Applicable
"DeKalb County, AL"	"01049"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"DeKalb County, AL"	"01049"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"DeKalb County, AL"	"01049"	"Other"	"7"	24	Not Applicable	Not Applicable
"DeKalb County, AL"	"01049"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Elmore County, AL"	"01051"	"Medical Facility - Inpatient"	"1"	11	Not Applicable	Not Applicable
"Elmore County, AL"	"01051"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Elmore County, AL"	"01051"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Elmore County, AL"	"01051"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Elmore County, AL"	"01051"	"Decedent's home"	"4"	30	Not Applicable	Not Applicable
"Elmore County, AL"	"01051"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Elmore County, AL"	"01051"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Elmore County, AL"	"01051"	"Other"	"7"	16	Not Applicable	Not Applicable
"Elmore County, AL"	"01051"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Escambia County, AL"	"01053"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Escambia County, AL"	"01053"	"Medical Facility - Outpatient or ER"	"2"	11	Not Applicable	Not Applicable
"Escambia County, AL"	"01053"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Escambia County, AL"	"01053"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Escambia County, AL"	"01053"	"Decedent's home"	"4"	79	Not Applicable	Not Applicable
"Escambia County, AL"	"01053"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Escambia County, AL"	"01053"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Escambia County, AL"	"01053"	"Other"	"7"	22	Not Applicable	Not Applicable
"Escambia County, AL"	"01053"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Etowah County, AL"	"01055"	"Medical Facility - Inpatient"	"1"	33	Not Applicable	Not Applicable
"Etowah County, AL"	"01055"	"Medical Facility - Outpatient or ER"	"2"	38	Not Applicable	Not Applicable
"Etowah County, AL"	"01055"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Etowah County, AL"	"01055"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Etowah County, AL"	"01055"	"Decedent's home"	"4"	79	Not Applicable	Not Applicable
"Etowah County, AL"	"01055"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Etowah County, AL"	"01055"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Etowah County, AL"	"01055"	"Other"	"7"	49	Not Applicable	Not Applicable
"Etowah County, AL"	"01055"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Fayette County, AL"	"01057"	"Medical Facility - Inpatient"	"1"	Suppressed	Not Applicable	Not Applicable
"Fayette County, AL"	"01057"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Fayette County, AL"	"01057"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Fayette County, AL"	"01057"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Fayette County, AL"	"01057"	"Decedent's home"	"4"	17	Not Applicable	Not Applicable
"Fayette County, AL"	"01057"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Fayette County, AL"	"01057"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Fayette County, AL"	"01057"	"Other"	"7"	Suppressed	Not Applicable	Not Applicable
"Fayette County, AL"	"01057"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"Franklin County, AL"	"01059"	"Medical Facility - Inpatient"	"1"	12	Not Applicable	Not Applicable
"Franklin County, AL"	"01059"	"Medical Facility - Outpatient or ER"	"2"	Suppressed	Not Applicable	Not Applicable
"Franklin County, AL"	"01059"	"Medical Facility - Dead on Arrival"	"3"	Suppressed	Not Applicable	Not Applicable
"Franklin County, AL"	"01059"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
"Franklin County, AL"	"01059"	"Decedent's home"	"4"	35	Not Applicable	Not Applicable
"Franklin County, AL"	"01059"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
"Franklin County, AL"	"01059"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
"Franklin County, AL"	"01059"	"Other"	"7"	14	Not Applicable	Not Applicable
